Interval=,0.001 s,
ExcelDateTime=,4.54E+04,18:52.4
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV
0,0,0
0.001,0,0
0.002,0,0
0.003,-0.0003125,-0.0003125
0.004,-0.0003125,-0.0003125
0.005,-0.0003125,-0.0003125
0.006,-0.0003125,-0.0003125
0.007,-0.0003125,-0.0003125
0.008,-0.000625,-0.000625
0.009,-0.000625,-0.000625
0.01,-0.00125,-0.0009375
0.011,-0.0015625,-0.00125
0.012,-0.001875,-0.0015625
0.013,-0.0025,-0.001875
0.014,-0.0034375,-0.0025
0.015,-0.004375,-0.0028125
0.016,-0.005,-0.003125
0.017,-0.00625,-0.00375
0.018,-0.0071875,-0.0040625
0.019,-0.0084375,-0.0046875
0.02,-0.0096875,-0.005
0.021,-0.010625,-0.0053125
0.022,-0.011875,-0.005625
0.023,-0.0128125,-0.0059375
0.024,-0.01375,-0.0059375
0.025,-0.015,-0.00625
0.026,-0.015625,-0.00625
0.027,-0.01625,-0.00625
0.028,-0.0171875,-0.00625
0.029,-0.0178125,-0.00625
0.03,-0.018125,-0.00625
0.031,-0.0190625,-0.00625
0.032,-0.0196875,-0.00625
0.033,-0.02,-0.00625
0.034,-0.0209375,-0.00625
0.035,-0.02125,-0.00625
0.036,-0.0221875,-0.0059375
0.037,-0.0225,-0.0059375
0.038,-0.023125,-0.0059375
0.039,-0.0240625,-0.005625
0.04,-0.024375,-0.0053125
0.041,-0.0246875,-0.005
0.042,-0.025,-0.0046875
0.043,-0.025,-0.00375
0.044,-0.025,-0.0034375
0.045,-0.0246875,-0.0025
0.046,-0.024375,-0.001875
0.047,-0.0234375,-0.000625
0.048,-0.0225,0
0.049,-0.0215625,0.00125
0.05,-0.020625,0.001875
0.051,-0.019375,0.0028125
0.052,-0.018125,0.0034375
0.053,-0.0171875,0.004375
0.054,-0.01625,0.005
0.055,-0.0153125,0.005625
0.056,-0.014375,0.00625
0.057,-0.0140625,0.0065625
0.058,-0.013125,0.006875
0.059,-0.0128125,0.0075
0.06,-0.0125,0.0078125
0.061,-0.011875,0.0084375
0.062,-0.0115625,0.00875
0.063,-0.01125,0.0090625
0.064,-0.0103125,0.01
0.065,-0.0096875,0.0103125
0.066,-0.009375,0.0109375
0.067,-0.0084375,0.0115625
0.068,-0.0075,0.011875
0.069,-0.0065625,0.0128125
0.07,-0.005625,0.013125
0.071,-0.004375,0.01375
0.072,-0.00375,0.0140625
0.073,-0.003125,0.014375
0.074,-0.0021875,0.0146875
0.075,-0.001875,0.0146875
0.076,-0.00125,0.0146875
0.077,-0.0009375,0.0146875
0.078,-0.0009375,0.0146875
0.079,-0.0009375,0.0146875
0.08,-0.0009375,0.014375
0.081,-0.00125,0.014375
0.082,-0.00125,0.014375
0.083,-0.00125,0.014375
0.084,-0.00125,0.0146875
0.085,-0.00125,0.0146875
0.086,-0.00125,0.0146875
0.087,-0.0009375,0.015
0.088,-0.000625,0.0153125
0.089,-0.0003125,0.015625
0.09,0.0003125,0.015625
0.091,0.000625,0.0159375
0.092,0.0009375,0.0159375
0.093,0.00125,0.0159375
0.094,0.00125,0.0159375
0.095,0.00125,0.0159375
0.096,0.00125,0.0159375
0.097,0.00125,0.015625
0.098,0.000625,0.015625
0.099,0.0003125,0.0153125
0.1,-0.0003125,0.0153125
0.101,-0.000625,0.015
0.102,-0.00125,0.015
0.103,-0.0015625,0.015
0.104,-0.001875,0.015
0.105,-0.0021875,0.0153125
0.106,-0.0021875,0.0153125
0.107,-0.0021875,0.015625
0.108,-0.0021875,0.0159375
0.109,-0.0021875,0.01625
0.11,-0.001875,0.01625
0.111,-0.001875,0.0165625
0.112,-0.0015625,0.0165625
0.113,-0.0015625,0.0165625
0.114,-0.001875,0.01625
0.115,-0.001875,0.01625
0.116,-0.0021875,0.01625
0.117,-0.0028125,0.0159375
0.118,-0.003125,0.0159375
0.119,-0.00375,0.0153125
0.12,-0.004375,0.0153125
0.121,-0.0053125,0.0153125
0.122,-0.005625,0.015
0.123,-0.0065625,0.015
0.124,-0.006875,0.015
0.125,-0.0071875,0.0153125
0.126,-0.0075,0.0153125
0.127,-0.0078125,0.0153125
0.128,-0.0078125,0.015625
0.129,-0.0078125,0.0159375
0.13,-0.0078125,0.01625
0.131,-0.0075,0.01625
0.132,-0.0075,0.01625
0.133,-0.0075,0.01625
0.134,-0.0075,0.01625
0.135,-0.0078125,0.01625
0.136,-0.008125,0.01625
0.137,-0.0084375,0.0159375
0.138,-0.0090625,0.0159375
0.139,-0.009375,0.015625
0.14,-0.0096875,0.015625
0.141,-0.0103125,0.015625
0.142,-0.0109375,0.015625
0.143,-0.01125,0.015625
0.144,-0.0115625,0.015625
0.145,-0.011875,0.015625
0.146,-0.011875,0.0159375
0.147,-0.0115625,0.01625
0.148,-0.0115625,0.0165625
0.149,-0.01125,0.016875
0.15,-0.010625,0.016875
0.151,-0.0103125,0.0171875
0.152,-0.01,0.0175
0.153,-0.0096875,0.0175
0.154,-0.009375,0.0175
0.155,-0.009375,0.0175
0.156,-0.009375,0.0171875
0.157,-0.009375,0.0171875
0.158,-0.009375,0.016875
0.159,-0.0096875,0.016875
0.16,-0.0096875,0.0165625
0.161,-0.0103125,0.0165625
0.162,-0.0103125,0.01625
0.163,-0.010625,0.01625
0.164,-0.010625,0.0165625
0.165,-0.010625,0.0165625
0.166,-0.010625,0.0165625
