Interval=,0.001 s,
ExcelDateTime=,4.54E+04,51:08.8
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV
0,0,0
0.001,0,0
0.002,0,0
0.003,0,0
0.004,0,0
0.005,0,0
0.006,0,0
0.007,0,0
0.008,0,0
0.009,0,0
0.01,0,0
0.011,0,0
0.012,0,0.0003125
0.013,0,0.0003125
0.014,0,0.0003125
0.015,0,0.0003125
0.016,0,0.0003125
0.017,0,0.000625
0.018,0,0.000625
0.019,0.0003125,0.000625
0.02,0.0003125,0.0009375
0.021,0.000625,0.0009375
0.022,0.000625,0.00125
0.023,0.000625,0.00125
0.024,0.0009375,0.001875
0.025,0.0009375,0.001875
0.026,0.00125,0.0025
0.027,0.00125,0.0028125
0.028,0.00125,0.0034375
0.029,0.0015625,0.00375
0.03,0.0015625,0.0046875
0.031,0.001875,0.0053125
0.032,0.001875,0.005625
0.033,0.0021875,0.0065625
0.034,0.0021875,0.0071875
0.035,0.0025,0.008125
0.036,0.0025,0.00875
0.037,0.0028125,0.0096875
0.038,0.0028125,0.0103125
0.039,0.003125,0.01125
0.04,0.003125,0.0121875
0.041,0.003125,0.0128125
0.042,0.0034375,0.01375
0.043,0.0034375,0.0146875
0.044,0.00375,0.0153125
0.045,0.00375,0.01625
0.046,0.0040625,0.0171875
0.047,0.0040625,0.0184375
0.048,0.0040625,0.0190625
0.049,0.004375,0.0203125
0.05,0.004375,0.02125
0.051,0.004375,0.0225
0.052,0.004375,0.02375
0.053,0.004375,0.0246875
0.054,0.004375,0.0259375
0.055,0.004375,0.026875
0.056,0.004375,0.0278125
0.057,0.004375,0.0290625
0.058,0.004375,0.0296875
0.059,0.004375,0.030625
0.06,0.004375,0.03125
0.061,0.0040625,0.0321875
0.062,0.0040625,0.033125
0.063,0.0040625,0.0334375
0.064,0.0040625,0.034375
0.065,0.0040625,0.0346875
0.066,0.00375,0.035
0.067,0.00375,0.035625
0.068,0.00375,0.0365625
0.069,0.00375,0.036875
0.07,0.00375,0.0371875
0.071,0.0034375,0.0378125
0.072,0.0034375,0.0384375
0.073,0.0034375,0.03875
0.074,0.003125,0.0390625
0.075,0.003125,0.0396875
0.076,0.0028125,0.04
0.077,0.0028125,0.04
0.078,0.0028125,0.0403125
0.079,0.0025,0.0403125
0.08,0.0025,0.0403125
0.081,0.0021875,0.0403125
0.082,0.0021875,0.0403125
0.083,0.0021875,0.0403125
0.084,0.001875,0.0403125
0.085,0.001875,0.04
0.086,0.0015625,0.04
0.087,0.0015625,0.04
0.088,0.00125,0.04
0.089,0.00125,0.04
0.09,0.0009375,0.0403125
0.091,0.0009375,0.0403125
0.092,0.000625,0.0403125
0.093,0.000625,0.040625
0.094,0.0003125,0.040625
0.095,0.0003125,0.040625
0.096,0.0003125,0.0409375
0.097,0,0.0409375
0.098,0,0.04125
0.099,-0.0003125,0.04125
0.1,-0.0003125,0.04125
0.101,-0.000625,0.04125
0.102,-0.000625,0.04125
0.103,-0.000625,0.0415625
0.104,-0.0009375,0.0415625
0.105,-0.0009375,0.0415625
0.106,-0.0009375,0.041875
0.107,-0.00125,0.041875
0.108,-0.00125,0.0421875
0.109,-0.00125,0.0425
0.11,-0.0015625,0.0425
0.111,-0.0015625,0.043125
0.112,-0.0015625,0.0434375
0.113,-0.001875,0.0434375
0.114,-0.001875,0.0440625
0.115,-0.001875,0.044375
0.116,-0.001875,0.044375
0.117,-0.001875,0.0446875
0.118,-0.0021875,0.0446875
0.119,-0.0021875,0.0446875
0.12,-0.0021875,0.0446875
0.121,-0.0021875,0.0446875
0.122,-0.0021875,0.0446875
0.123,-0.0021875,0.044375
0.124,-0.0021875,0.044375
0.125,-0.0021875,0.044375
0.126,-0.0021875,0.0440625
0.127,-0.001875,0.04375
0.128,-0.001875,0.04375
0.129,-0.001875,0.04375
0.13,-0.001875,0.0434375
0.131,-0.001875,0.0434375
0.132,-0.001875,0.043125
0.133,-0.001875,0.043125
0.134,-0.001875,0.043125
0.135,-0.001875,0.0428125
0.136,-0.001875,0.0428125
0.137,-0.001875,0.0428125
0.138,-0.001875,0.0425
0.139,-0.0015625,0.0421875
0.14,-0.0015625,0.041875
0.141,-0.0015625,0.041875
0.142,-0.0015625,0.0415625
0.143,-0.0015625,0.0409375
0.144,-0.0015625,0.0409375
0.145,-0.0015625,0.040625
0.146,-0.0015625,0.0403125
0.147,-0.001875,0.04
0.148,-0.001875,0.04
0.149,-0.001875,0.04
0.15,-0.001875,0.04
0.151,-0.001875,0.04
0.152,-0.0021875,0.04
0.153,-0.0021875,0.04
0.154,-0.0021875,0.04
0.155,-0.0025,0.04
0.156,-0.0025,0.0403125
0.157,-0.0028125,0.0403125
0.158,-0.0028125,0.04
0.159,-0.003125,0.04
0.16,-0.0034375,0.04
0.161,-0.0034375,0.04
0.162,-0.00375,0.0396875
0.163,-0.00375,0.0396875
0.164,-0.0040625,0.039375
0.165,-0.004375,0.039375
0.166,-0.004375,0.039375
0.167,-0.005,0.0390625
0.168,-0.005,0.0390625
0.169,-0.0053125,0.0390625
0.17,-0.005625,0.0390625
0.171,-0.005625,0.0390625
0.172,-0.00625,0.03875
0.173,-0.00625,0.03875
0.174,-0.0065625,0.03875
0.175,-0.0065625,0.03875
0.176,-0.006875,0.0384375
