Interval=,0.001 s,
ExcelDateTime=,4.54E+04,32:16.2
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV
0,0,0
0.001,0,0
0.002,0,0
0.003,0,0
0.004,0,-0.0003125
0.005,0,-0.0003125
0.006,0,-0.0003125
0.007,0,-0.0003125
0.008,0,-0.0003125
0.009,0,-0.0003125
0.01,0,-0.0003125
0.011,0.0003125,-0.0003125
0.012,0.0003125,0
0.013,0.0003125,0
0.014,0.000625,0
0.015,0.000625,0
0.016,0.000625,0
0.017,0.000625,0.0003125
0.018,0.000625,0.0003125
0.019,0.000625,0.000625
0.02,0.000625,0.0009375
0.021,0.0003125,0.0009375
0.022,0.0003125,0.00125
0.023,0.0003125,0.0015625
0.024,0,0.0015625
0.025,0,0.001875
0.026,-0.0003125,0.0021875
0.027,-0.0003125,0.0021875
0.028,-0.0003125,0.0025
0.029,-0.000625,0.0028125
0.03,-0.000625,0.0028125
0.031,-0.0009375,0.003125
0.032,-0.0009375,0.003125
0.033,-0.0009375,0.003125
0.034,-0.00125,0.0034375
0.035,-0.00125,0.0034375
0.036,-0.00125,0.00375
0.037,-0.00125,0.0040625
0.038,-0.0015625,0.004375
0.039,-0.001875,0.004375
0.04,-0.0021875,0.0046875
0.041,-0.0021875,0.005
0.042,-0.0028125,0.005
0.043,-0.0028125,0.0053125
0.044,-0.003125,0.005625
0.045,-0.00375,0.005625
0.046,-0.00375,0.005625
0.047,-0.004375,0.0059375
0.048,-0.004375,0.0059375
0.049,-0.0046875,0.005625
0.05,-0.005,0.005625
0.051,-0.005,0.005625
0.052,-0.0053125,0.0053125
0.053,-0.0053125,0.0053125
0.054,-0.0053125,0.005
0.055,-0.0053125,0.005
0.056,-0.0053125,0.005
0.057,-0.005,0.0046875
0.058,-0.005,0.0046875
0.059,-0.0053125,0.0046875
0.06,-0.0053125,0.0046875
0.061,-0.0053125,0.0046875
0.062,-0.0053125,0.0046875
0.063,-0.0053125,0.0046875
0.064,-0.0053125,0.0046875
0.065,-0.005625,0.0046875
0.066,-0.005625,0.0046875
0.067,-0.005625,0.0046875
0.068,-0.005625,0.0046875
0.069,-0.0053125,0.0046875
0.07,-0.0053125,0.0046875
0.071,-0.0053125,0.0046875
0.072,-0.005,0.004375
0.073,-0.0046875,0.004375
0.074,-0.004375,0.0040625
0.075,-0.0040625,0.0040625
0.076,-0.0034375,0.0040625
0.077,-0.0034375,0.0040625
0.078,-0.0028125,0.0040625
0.079,-0.0028125,0.004375
0.08,-0.0021875,0.004375
0.081,-0.0021875,0.004375
0.082,-0.001875,0.0046875
0.083,-0.001875,0.0046875
0.084,-0.0015625,0.005
0.085,-0.00125,0.005
0.086,-0.00125,0.005
