Interval=,0.001 s,
ExcelDateTime=,4.54E+04,13:55.5
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV
0,-0.0003125,0
0.001,-0.0003125,0
0.002,-0.0003125,0
0.003,-0.000625,0
0.004,-0.00125,0
0.005,-0.0021875,0
0.006,-0.00375,0
0.007,-0.00625,0
0.008,-0.0090625,0
0.009,-0.013125,0
0.01,-0.0178125,0.0003125
0.011,-0.0234375,0.0003125
0.012,-0.03,0.0009375
0.013,-0.0371875,0.0009375
0.014,-0.0446875,0.0015625
0.015,-0.0528125,0.001875
0.016,-0.060625,0.0025
0.017,-0.06875,0.0028125
0.018,-0.0759375,0.0034375
0.019,-0.0828125,0.0040625
0.02,-0.0884375,0.004375
0.021,-0.0934375,0.0046875
0.022,-0.0975,0.005
0.023,-0.100625,0.0053125
0.024,-0.103125,0.0053125
0.025,-0.105,0.005
0.026,-0.1065625,0.0046875
0.027,-0.108125,0.004375
0.028,-0.11,0.0034375
0.029,-0.1121875,0.003125
0.03,-0.1146875,0.0021875
0.031,-0.118125,0.0015625
0.032,-0.121875,0.000625
0.033,-0.1265625,-0.0003125
0.034,-0.13125,-0.00125
0.035,-0.1359375,-0.0021875
0.036,-0.14,-0.003125
0.037,-0.1434375,-0.0040625
0.038,-0.145625,-0.005
0.039,-0.14625,-0.0059375
0.04,-0.1453125,-0.0071875
0.041,-0.1425,-0.0084375
0.042,-0.138125,-0.0096875
0.043,-0.131875,-0.01125
0.044,-0.124375,-0.013125
0.045,-0.115625,-0.015
0.046,-0.10625,-0.016875
0.047,-0.096875,-0.0190625
0.048,-0.088125,-0.02125
0.049,-0.08,-0.02375
0.05,-0.073125,-0.0259375
0.051,-0.0678125,-0.028125
0.052,-0.0640625,-0.0303125
0.053,-0.0621875,-0.0325
0.054,-0.0615625,-0.034375
0.055,-0.0621875,-0.0359375
0.056,-0.0634375,-0.0375
0.057,-0.065,-0.0390625
0.058,-0.0665625,-0.0403125
0.059,-0.0675,-0.04125
0.06,-0.0675,-0.0425
0.061,-0.06625,-0.0434375
0.062,-0.06375,-0.044375
0.063,-0.06,-0.0453125
0.064,-0.055,-0.0465625
0.065,-0.0490625,-0.0478125
0.066,-0.04375,-0.049375
0.067,-0.0378125,-0.050625
0.068,-0.0328125,-0.0525
0.069,-0.0290625,-0.0540625
0.07,-0.026875,-0.0559375
0.071,-0.02625,-0.0578125
0.072,-0.0278125,-0.059375
0.073,-0.0309375,-0.0609375
0.074,-0.035625,-0.0628125
0.075,-0.0415625,-0.0640625
0.076,-0.04875,-0.065625
0.077,-0.05625,-0.066875
0.078,-0.06375,-0.068125
0.079,-0.070625,-0.069375
0.08,-0.076875,-0.070625
0.081,-0.0821875,-0.071875
0.082,-0.0859375,-0.073125
0.083,-0.0884375,-0.074375
0.084,-0.09,-0.0759375
0.085,-0.0909375,-0.0775
0.086,-0.0915625,-0.079375
0.087,-0.091875,-0.0815625
0.088,-0.093125,-0.0834375
0.089,-0.0953125,-0.085625
0.09,-0.0984375,-0.0878125
0.091,-0.1034375,-0.0903125
0.092,-0.11,-0.0925
0.093,-0.118125,-0.094375
0.094,-0.1278125,-0.0965625
0.095,-0.1384375,-0.0984375
0.096,-0.1496875,-0.1003125
0.097,-0.161875,-0.101875
0.098,-0.1734375,-0.10375
0.099,-0.1846875,-0.1053125
0.1,-0.195,-0.106875
0.101,-0.2040625,-0.1084375
0.102,-0.211875,-0.11
0.103,-0.2184375,-0.1115625
0.104,-0.22375,-0.11375
0.105,-0.2278125,-0.115625
0.106,-0.2315625,-0.1171875
0.107,-0.2353125,-0.119375
0.108,-0.2390625,-0.121875
0.109,-0.243125,-0.1240625
0.11,-0.2484375,-0.1265625
0.111,-0.2546875,-0.12875
0.112,-0.2625,-0.13125
0.113,-0.27125,-0.13375
0.114,-0.28125,-0.1359375
0.115,-0.2921875,-0.1384375
0.116,-0.3034375,-0.140625
0.117,-0.315,-0.1421875
0.118,-0.32625,-0.144375
0.119,-0.336875,-0.14625
0.12,-0.34625,-0.1478125
0.121,-0.3546875,-0.149375
0.122,-0.3615625,-0.15125
0.123,-0.3671875,-0.1528125
0.124,-0.3715625,-0.154375
0.125,-0.375,-0.15625
0.126,-0.3778125,-0.158125
0.127,-0.38,-0.16
0.128,-0.3825,-0.1621875
0.129,-0.385625,-0.164375
0.13,-0.3890625,-0.1665625
0.131,-0.3934375,-0.1690625
0.132,-0.3990625,-0.17125
0.133,-0.405625,-0.173125
0.134,-0.413125,-0.175625
0.135,-0.4215625,-0.1775
0.136,-0.4303125,-0.1796875
0.137,-0.4390625,-0.18125
0.138,-0.4478125,-0.1834375
0.139,-0.455625,-0.185
0.14,-0.4628125,-0.1865625
0.141,-0.46875,-0.188125
0.142,-0.4734375,-0.1896875
0.143,-0.476875,-0.1915625
0.144,-0.479375,-0.193125
0.145,-0.4809375,-0.1946875
0.146,-0.481875,-0.196875
0.147,-0.4825,-0.19875
0.148,-0.4834375,-0.200625
0.149,-0.4846875,-0.203125
0.15,-0.486875,-0.2053125
0.151,-0.49,-0.2078125
0.152,-0.49375,-0.2103125
0.153,-0.49875,-0.2125
0.154,-0.505,-0.215
0.155,-0.5115625,-0.2171875
0.156,-0.518125,-0.219375
0.157,-0.525,-0.22125
0.158,-0.53125,-0.2234375
0.159,-0.5371875,-0.2253125
0.16,-0.5415625,-0.226875
0.161,-0.545,-0.2284375
0.162,-0.5471875,-0.2303125
0.163,-0.5478125,-0.231875
0.164,-0.5475,-0.2334375
0.165,-0.54625,-0.235
0.166,-0.5440625,-0.236875
0.167,-0.541875,-0.2384375
0.168,-0.539375,-0.2403125
0.169,-0.5375,-0.241875
0.17,-0.53625,-0.24375
0.171,-0.5359375,-0.245625
0.172,-0.536875,-0.2471875
0.173,-0.5384375,-0.2490625
0.174,-0.5409375,-0.2503125
0.175,-0.5440625,-0.2515625
0.176,-0.5475,-0.2528125
0.177,-0.5509375,-0.25375
0.178,-0.5540625,-0.254375
0.179,-0.5565625,-0.2553125
0.18,-0.5578125,-0.255625
0.181,-0.5578125,-0.2559375
0.182,-0.556875,-0.2565625
0.183,-0.554375,-0.2565625
0.184,-0.550625,-0.2571875
0.185,-0.5465625,-0.2571875
0.186,-0.5415625,-0.2575
0.187,-0.53625,-0.2578125
0.188,-0.53125,-0.2578125
