Interval=,0.001 s,
ExcelDateTime=,4.54E+04,57:15.3
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV
0,0,0
0.001,0,0
0.002,0,0
0.003,-0.0003125,0
0.004,-0.0003125,0
0.005,-0.0003125,0
0.006,-0.0003125,0
0.007,-0.0003125,0
0.008,-0.0003125,0
0.009,-0.0003125,0
0.01,-0.000625,-0.0003125
0.011,-0.000625,-0.0003125
0.012,-0.000625,-0.0003125
0.013,-0.0009375,-0.000625
0.014,-0.0009375,-0.0009375
0.015,-0.00125,-0.00125
0.016,-0.00125,-0.0015625
0.017,-0.0015625,-0.0025
0.018,-0.0015625,-0.003125
0.019,-0.001875,-0.004375
0.02,-0.0021875,-0.0053125
0.021,-0.0021875,-0.0065625
0.022,-0.0021875,-0.008125
0.023,-0.0025,-0.009375
0.024,-0.0025,-0.01125
0.025,-0.0028125,-0.0128125
0.026,-0.003125,-0.0140625
0.027,-0.003125,-0.0159375
0.028,-0.00375,-0.0171875
0.029,-0.00375,-0.0190625
0.03,-0.0040625,-0.0203125
0.031,-0.004375,-0.0215625
0.032,-0.0046875,-0.023125
0.033,-0.005,-0.024375
0.034,-0.005,-0.025625
0.035,-0.0053125,-0.026875
0.036,-0.0059375,-0.0284375
0.037,-0.00625,-0.0296875
0.038,-0.00625,-0.0309375
0.039,-0.0065625,-0.0325
0.04,-0.006875,-0.03375
0.041,-0.006875,-0.035625
0.042,-0.0071875,-0.0371875
0.043,-0.0071875,-0.0384375
0.044,-0.0075,-0.04
0.045,-0.0078125,-0.0415625
0.046,-0.0078125,-0.0428125
0.047,-0.0084375,-0.0440625
0.048,-0.0084375,-0.045
0.049,-0.00875,-0.0459375
0.05,-0.0090625,-0.046875
0.051,-0.009375,-0.0471875
0.052,-0.0096875,-0.0478125
0.053,-0.01,-0.048125
0.054,-0.0103125,-0.04875
0.055,-0.010625,-0.0490625
0.056,-0.010625,-0.049375
0.057,-0.01125,-0.0496875
0.058,-0.01125,-0.050625
0.059,-0.0115625,-0.0509375
0.06,-0.011875,-0.051875
0.061,-0.011875,-0.0525
0.062,-0.0121875,-0.05375
0.063,-0.0125,-0.0546875
0.064,-0.0128125,-0.055625
0.065,-0.0128125,-0.056875
0.066,-0.013125,-0.0578125
0.067,-0.0134375,-0.05875
0.068,-0.0134375,-0.0596875
0.069,-0.0140625,-0.0603125
0.07,-0.014375,-0.0609375
0.071,-0.014375,-0.06125
0.072,-0.0146875,-0.0615625
0.073,-0.0153125,-0.0615625
0.074,-0.015625,-0.0615625
0.075,-0.015625,-0.0615625
0.076,-0.0159375,-0.06125
0.077,-0.01625,-0.06125
0.078,-0.01625,-0.0609375
0.079,-0.01625,-0.0609375
0.08,-0.01625,-0.0609375
0.081,-0.0165625,-0.060625
0.082,-0.0165625,-0.060625
0.083,-0.0165625,-0.0603125
0.084,-0.0165625,-0.0603125
0.085,-0.0165625,-0.0596875
0.086,-0.016875,-0.059375
0.087,-0.016875,-0.0584375
0.088,-0.016875,-0.0578125
0.089,-0.0171875,-0.0565625
0.09,-0.0175,-0.0553125
0.091,-0.0178125,-0.0540625
0.092,-0.0178125,-0.0525
0.093,-0.018125,-0.050625
0.094,-0.018125,-0.0490625
0.095,-0.0184375,-0.0471875
0.096,-0.01875,-0.045625
0.097,-0.01875,-0.044375
0.098,-0.01875,-0.043125
0.099,-0.0190625,-0.041875
0.1,-0.0190625,-0.04125
0.101,-0.0190625,-0.040625
0.102,-0.0190625,-0.0403125
0.103,-0.019375,-0.04
0.104,-0.019375,-0.04
0.105,-0.0196875,-0.04
0.106,-0.0196875,-0.04
0.107,-0.0196875,-0.04
0.108,-0.0203125,-0.0403125
0.109,-0.0203125,-0.04
0.11,-0.020625,-0.04
0.111,-0.0209375,-0.04
0.112,-0.0215625,-0.0396875
0.113,-0.021875,-0.039375
0.114,-0.021875,-0.039375
0.115,-0.0221875,-0.0390625
0.116,-0.0225,-0.0390625
0.117,-0.0225,-0.0390625
0.118,-0.0228125,-0.0390625
0.119,-0.0228125,-0.039375
0.12,-0.0228125,-0.0396875
0.121,-0.0228125,-0.04
0.122,-0.0228125,-0.040625
0.123,-0.0228125,-0.0409375
0.124,-0.023125,-0.041875
0.125,-0.023125,-0.0421875
0.126,-0.023125,-0.0428125
0.127,-0.023125,-0.043125
0.128,-0.023125,-0.043125
0.129,-0.0234375,-0.043125
0.13,-0.0234375,-0.0428125
0.131,-0.0234375,-0.0425
0.132,-0.02375,-0.0415625
0.133,-0.02375,-0.04125
0.134,-0.0240625,-0.0403125
0.135,-0.0240625,-0.039375
0.136,-0.0240625,-0.0384375
0.137,-0.0240625,-0.0378125
0.138,-0.0240625,-0.036875
0.139,-0.0240625,-0.03625
0.14,-0.0240625,-0.035625
0.141,-0.0240625,-0.0353125
0.142,-0.0240625,-0.0346875
0.143,-0.0240625,-0.034375
0.144,-0.02375,-0.0340625
0.145,-0.02375,-0.03375
0.146,-0.0240625,-0.0334375
0.147,-0.0240625,-0.0328125
0.148,-0.0240625,-0.0325
0.149,-0.024375,-0.0315625
0.15,-0.024375,-0.03125
0.151,-0.0246875,-0.0303125
0.152,-0.0246875,-0.0296875
0.153,-0.0246875,-0.02875
0.154,-0.025,-0.0278125
0.155,-0.025,-0.026875
0.156,-0.0253125,-0.02625
0.157,-0.0253125,-0.0253125
0.158,-0.0253125,-0.025
0.159,-0.0253125,-0.024375
0.16,-0.025,-0.0240625
0.161,-0.025,-0.02375
0.162,-0.025,-0.02375
0.163,-0.025,-0.0234375
0.164,-0.025,-0.0234375
0.165,-0.025,-0.0234375
0.166,-0.025,-0.023125
0.167,-0.025,-0.023125
0.168,-0.025,-0.0228125
0.169,-0.0253125,-0.0225
0.17,-0.0253125,-0.021875
0.171,-0.025625,-0.0215625
0.172,-0.0259375,-0.020625
0.173,-0.0259375,-0.02
0.174,-0.02625,-0.0190625
0.175,-0.02625,-0.01875
0.176,-0.0265625,-0.0178125
0.177,-0.0265625,-0.0175
0.178,-0.0265625,-0.016875
0.179,-0.026875,-0.016875
0.18,-0.026875,-0.016875
0.181,-0.026875,-0.016875
0.182,-0.026875,-0.0171875
0.183,-0.026875,-0.0175
0.184,-0.0271875,-0.0178125
0.185,-0.0271875,-0.0184375
0.186,-0.0271875,-0.01875
0.187,-0.0275,-0.0196875
0.188,-0.0278125,-0.02
0.189,-0.028125,-0.0203125
0.19,-0.028125,-0.0209375
0.191,-0.02875,-0.0209375
0.192,-0.0290625,-0.02125
0.193,-0.0290625,-0.0215625
0.194,-0.029375,-0.0215625
0.195,-0.03,-0.0215625
0.196,-0.03,-0.021875
0.197,-0.03,-0.021875
0.198,-0.0303125,-0.0221875
0.199,-0.0303125,-0.0225
0.2,-0.0303125,-0.023125
0.201,-0.0303125,-0.0234375
0.202,-0.0303125,-0.02375
0.203,-0.0303125,-0.0246875
0.204,-0.03,-0.025
0.205,-0.03,-0.0259375
0.206,-0.03,-0.02625
0.207,-0.03,-0.0265625
0.208,-0.03,-0.0271875
0.209,-0.03,-0.0275
0.21,-0.0303125,-0.0275
