Interval=,0.001 s,
ExcelDateTime=,4.54E+04,40:13.6
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV
0,0,0
0.001,0,0
0.002,0,0
0.003,0,0
0.004,0,-0.0003125
0.005,0,-0.0003125
0.006,0,-0.0003125
0.007,0,-0.0003125
0.008,0,-0.0003125
0.009,0,-0.0003125
0.01,0,-0.0003125
0.011,0,-0.0003125
0.012,0,-0.0003125
0.013,0,-0.0003125
0.014,0,-0.0003125
0.015,0,-0.0003125
0.016,0,-0.0003125
0.017,0,-0.0003125
0.018,0,0
0.019,0,0
0.02,0,0.0003125
0.021,0,0.0003125
0.022,0,0.0003125
0.023,0,0.000625
0.024,0,0.000625
0.025,0,0.0009375
0.026,0,0.0009375
0.027,0,0.00125
0.028,0,0.00125
0.029,-0.0003125,0.00125
0.03,-0.0003125,0.0015625
0.031,-0.0003125,0.0015625
0.032,-0.0003125,0.0015625
0.033,-0.0003125,0.001875
0.034,-0.000625,0.001875
0.035,-0.000625,0.001875
0.036,-0.000625,0.001875
0.037,-0.000625,0.001875
0.038,-0.0009375,0.0021875
0.039,-0.0009375,0.0021875
0.04,-0.0009375,0.0025
0.041,-0.00125,0.0025
0.042,-0.00125,0.0025
0.043,-0.00125,0.0028125
0.044,-0.0015625,0.0028125
0.045,-0.0015625,0.0028125
0.046,-0.0015625,0.0028125
0.047,-0.001875,0.0028125
0.048,-0.001875,0.0028125
0.049,-0.0021875,0.0028125
0.05,-0.0025,0.0028125
0.051,-0.0025,0.0025
0.052,-0.0025,0.0025
0.053,-0.0028125,0.0021875
0.054,-0.0028125,0.001875
0.055,-0.0028125,0.001875
0.056,-0.003125,0.001875
0.057,-0.003125,0.0015625
0.058,-0.0034375,0.00125
0.059,-0.0034375,0.00125
0.06,-0.00375,0.00125
0.061,-0.00375,0.0009375
0.062,-0.00375,0.0009375
0.063,-0.0040625,0.0009375
0.064,-0.0040625,0.0009375
0.065,-0.004375,0.000625
0.066,-0.004375,0.000625
0.067,-0.0046875,0.000625
0.068,-0.0046875,0.000625
0.069,-0.005,0.000625
0.07,-0.0053125,0.0003125
0.071,-0.0053125,0.0003125
0.072,-0.005625,0
0.073,-0.005625,0
0.074,-0.0059375,0
0.075,-0.00625,-0.0003125
0.076,-0.00625,-0.0003125
0.077,-0.00625,-0.0003125
0.078,-0.0065625,-0.0003125
0.079,-0.006875,-0.0003125
0.08,-0.006875,-0.0003125
0.081,-0.0071875,-0.0003125
0.082,-0.0071875,-0.0003125
0.083,-0.0075,-0.0003125
0.084,-0.0075,0
0.085,-0.0075,0
0.086,-0.0078125,0
0.087,-0.0078125,0
0.088,-0.008125,0.0003125
0.089,-0.008125,0.0003125
0.09,-0.008125,0.0003125
0.091,-0.008125,0.0003125
0.092,-0.008125,0
0.093,-0.0084375,0
0.094,-0.0084375,0
0.095,-0.0084375,0
0.096,-0.008125,0
0.097,-0.008125,0
0.098,-0.008125,0
0.099,-0.008125,0.0003125
0.1,-0.008125,0.0003125
0.101,-0.0078125,0.0003125
0.102,-0.0078125,0.0003125
0.103,-0.0078125,0.0003125
0.104,-0.0075,0.000625
0.105,-0.0075,0.000625
0.106,-0.0071875,0.000625
0.107,-0.0071875,0.0009375
0.108,-0.0071875,0.0009375
0.109,-0.006875,0.0009375
0.11,-0.006875,0.0009375
0.111,-0.0065625,0.000625
0.112,-0.0065625,0.000625
0.113,-0.0065625,0.000625
0.114,-0.00625,0.000625
0.115,-0.00625,0.000625
0.116,-0.00625,0.000625
0.117,-0.0059375,0.000625
0.118,-0.0059375,0.000625
0.119,-0.005625,0.000625
0.12,-0.005625,0.000625
0.121,-0.0053125,0.000625
0.122,-0.0053125,0.000625
0.123,-0.0053125,0.0009375
0.124,-0.005,0.0009375
0.125,-0.005,0.00125
0.126,-0.005,0.00125
0.127,-0.005,0.00125
0.128,-0.0046875,0.00125
0.129,-0.0046875,0.00125
0.13,-0.0046875,0.00125
0.131,-0.0046875,0.00125
0.132,-0.0046875,0.00125
0.133,-0.004375,0.0009375
0.134,-0.004375,0.0009375
0.135,-0.004375,0.0009375
0.136,-0.0040625,0.0009375
0.137,-0.0040625,0.0009375
0.138,-0.0040625,0.000625
0.139,-0.0040625,0.000625
0.14,-0.00375,0.000625
0.141,-0.00375,0.000625
0.142,-0.00375,0.000625
0.143,-0.00375,0.0009375
0.144,-0.0034375,0.0009375
0.145,-0.0034375,0.000625
0.146,-0.0034375,0.000625
0.147,-0.0034375,0.000625
0.148,-0.0034375,0.000625
0.149,-0.0034375,0.000625
0.15,-0.0034375,0.000625
0.151,-0.0034375,0.0003125
0.152,-0.0034375,0.0003125
0.153,-0.0034375,0.0003125
0.154,-0.0034375,0
0.155,-0.0034375,0
0.156,-0.00375,0
0.157,-0.00375,-0.0003125
0.158,-0.00375,-0.0003125
0.159,-0.00375,-0.0003125
0.16,-0.00375,-0.0003125
0.161,-0.00375,-0.0003125
0.162,-0.00375,-0.0003125
0.163,-0.00375,-0.0003125
0.164,-0.00375,-0.0003125
0.165,-0.00375,-0.0003125
0.166,-0.0040625,-0.0003125
0.167,-0.0040625,-0.0003125
0.168,-0.0040625,-0.0003125
0.169,-0.0040625,-0.0003125
0.17,-0.0040625,-0.0003125
0.171,-0.004375,-0.0003125
0.172,-0.004375,-0.0003125
0.173,-0.004375,-0.0003125
0.174,-0.004375,-0.0003125
0.175,-0.004375,-0.0003125
0.176,-0.0046875,-0.0003125
0.177,-0.0046875,-0.0003125
0.178,-0.0046875,0
0.179,-0.0046875,0
0.18,-0.005,0
0.181,-0.005,0
0.182,-0.005,0.0003125
0.183,-0.005,0.0003125
