Interval=,0.001 s,
ExcelDateTime=,4.54E+04,05:15.6
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV
,,
0.001,0,0
0.002,0,-0.0003125
0.003,-0.0003125,-0.0003125
0.004,-0.0003125,-0.0003125
0.005,-0.0003125,-0.0003125
0.006,-0.0003125,-0.000625
0.007,-0.0003125,-0.0009375
0.008,-0.0003125,-0.001875
0.009,-0.000625,-0.0025
0.01,-0.0009375,-0.003125
0.011,-0.0009375,-0.004375
0.012,-0.0015625,-0.00625
0.013,-0.001875,-0.0078125
0.014,-0.0021875,-0.0103125
0.015,-0.003125,-0.0128125
0.016,-0.00375,-0.0159375
0.017,-0.0040625,-0.019375
0.018,-0.005,-0.02375
0.019,-0.0059375,-0.0284375
0.02,-0.0065625,-0.0334375
0.021,-0.0075,-0.0390625
0.022,-0.00875,-0.0453125
0.023,-0.01,-0.0521875
0.024,-0.01125,-0.0596875
0.025,-0.0125,-0.0675
0.026,-0.01375,-0.0759375
0.027,-0.0153125,-0.085
0.028,-0.016875,-0.0940625
0.029,-0.0184375,-0.1040625
0.03,-0.0203125,-0.114375
0.031,-0.021875,-0.1253125
0.032,-0.0234375,-0.1365625
0.033,-0.025625,-0.1478125
0.034,-0.0271875,-0.16
0.035,-0.029375,-0.1725
0.036,-0.0315625,-0.185
0.037,-0.033125,-0.1978125
0.038,-0.0353125,-0.21125
0.039,-0.0375,-0.224375
0.04,-0.039375,-0.2378125
0.041,-0.04125,-0.2515625
0.042,-0.0434375,-0.2653125
0.043,-0.0453125,-0.2790625
0.044,-0.046875,-0.2925
0.045,-0.0484375,-0.30625
0.046,-0.0503125,-0.3196875
0.047,-0.051875,-0.3325
0.048,-0.0534375,-0.3453125
0.049,-0.055,-0.3578125
0.05,-0.05625,-0.37
0.051,-0.0575,-0.3815625
0.052,-0.05875,-0.3928125
0.053,-0.0596875,-0.40375
0.054,-0.0609375,-0.414375
0.055,-0.061875,-0.4240625
0.056,-0.0628125,-0.43375
0.057,-0.06375,-0.443125
0.058,-0.0640625,-0.451875
0.059,-0.0646875,-0.46
0.06,-0.065625,-0.468125
0.061,-0.0659375,-0.475625
0.062,-0.06625,-0.4828125
0.063,-0.0665625,-0.49
