Interval=,0.001 s,
ExcelDateTime=,4.54E+04,09:58.8
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV
0,0,0
0.001,0,0
0.002,0,0
0.003,0,0
0.004,-0.0003125,0
0.005,-0.0003125,0
0.006,-0.0003125,0
0.007,-0.0003125,0
0.008,-0.0003125,0
0.009,-0.0003125,0.0003125
0.01,-0.0003125,0.000625
0.011,-0.0003125,0.0009375
0.012,-0.0003125,0.0009375
0.013,-0.0003125,0.0015625
0.014,-0.0003125,0.001875
0.015,-0.0003125,0.0025
0.016,-0.0003125,0.0028125
0.017,-0.0003125,0.0034375
0.018,-0.0003125,0.004375
0.019,-0.000625,0.0053125
0.02,-0.000625,0.0059375
0.021,-0.0003125,0.006875
0.022,-0.0003125,0.0075
0.023,-0.0003125,0.00875
0.024,-0.0003125,0.0096875
0.025,-0.0003125,0.010625
0.026,-0.0003125,0.0115625
0.027,-0.0003125,0.0128125
0.028,-0.0003125,0.0140625
0.029,-0.0003125,0.0153125
0.03,-0.0003125,0.0165625
0.031,0,0.0178125
0.032,0,0.0190625
0.033,0,0.020625
0.034,0,0.0221875
0.035,0.0003125,0.02375
0.036,0.0003125,0.0253125
0.037,0.0003125,0.026875
0.038,0.000625,0.0284375
0.039,0.000625,0.0296875
0.04,0.000625,0.03125
0.041,0.0009375,0.033125
0.042,0.0009375,0.034375
0.043,0.00125,0.0359375
0.044,0.00125,0.0371875
0.045,0.0015625,0.0384375
0.046,0.001875,0.0396875
0.047,0.001875,0.0409375
0.048,0.0021875,0.0421875
0.049,0.0021875,0.0434375
0.05,0.0025,0.044375
0.051,0.0025,0.045625
0.052,0.0028125,0.04625
0.053,0.0028125,0.0475
0.054,0.0028125,0.0484375
0.055,0.003125,0.049375
0.056,0.003125,0.0503125
0.057,0.003125,0.05125
0.058,0.003125,0.051875
0.059,0.003125,0.0528125
0.06,0.003125,0.05375
0.061,0.0034375,0.054375
0.062,0.0034375,0.0546875
0.063,0.0034375,0.0553125
0.064,0.0034375,0.055625
0.065,0.0034375,0.0559375
0.066,0.0034375,0.0565625
0.067,0.0034375,0.0565625
0.068,0.0034375,0.056875
0.069,0.0034375,0.0571875
0.07,0.003125,0.0571875
0.071,0.003125,0.0571875
0.072,0.003125,0.0575
0.073,0.003125,0.0575
0.074,0.003125,0.0575
0.075,0.0028125,0.0578125
0.076,0.0028125,0.0578125
0.077,0.0028125,0.058125
0.078,0.0025,0.058125
0.079,0.0025,0.058125
0.08,0.0025,0.058125
0.081,0.0025,0.058125
0.082,0.0021875,0.058125
0.083,0.0021875,0.058125
0.084,0.0021875,0.0578125
0.085,0.001875,0.0578125
0.086,0.001875,0.0578125
0.087,0.001875,0.0575
0.088,0.001875,0.0571875
0.089,0.0015625,0.056875
0.09,0.0015625,0.056875
0.091,0.0015625,0.0565625
0.092,0.00125,0.05625
0.093,0.00125,0.05625
0.094,0.0009375,0.05625
0.095,0.0009375,0.0559375
0.096,0.0009375,0.0559375
0.097,0.000625,0.0559375
