Interval=,0.001 s,
ExcelDateTime=,4.54E+04,06:55.8
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV
0,0,0
0.001,0,0
0.002,0,0
0.003,0,0
0.004,-0.0003125,0
0.005,-0.0003125,0
0.006,-0.0003125,0
0.007,-0.0003125,0.0003125
0.008,-0.0003125,0.0003125
0.009,-0.0003125,0.0003125
0.01,-0.0003125,0.000625
0.011,-0.0003125,0.00125
0.012,-0.0003125,0.0015625
0.013,-0.000625,0.001875
0.014,-0.000625,0.0028125
0.015,-0.0009375,0.0034375
0.016,-0.0009375,0.00375
0.017,-0.0009375,0.0046875
0.018,-0.00125,0.005625
0.019,-0.00125,0.00625
0.02,-0.00125,0.0075
0.021,-0.0015625,0.008125
0.022,-0.0015625,0.009375
0.023,-0.001875,0.010625
0.024,-0.001875,0.0115625
0.025,-0.0021875,0.0128125
0.026,-0.0025,0.0140625
0.027,-0.0025,0.0153125
0.028,-0.003125,0.016875
0.029,-0.003125,0.018125
0.03,-0.0034375,0.02
0.031,-0.00375,0.0215625
0.032,-0.0040625,0.0234375
0.033,-0.0046875,0.025
0.034,-0.0046875,0.0265625
0.035,-0.0053125,0.02875
0.036,-0.005625,0.030625
0.037,-0.0059375,0.0328125
0.038,-0.00625,0.0346875
0.039,-0.006875,0.036875
0.04,-0.0071875,0.0384375
0.041,-0.0075,0.040625
0.042,-0.0078125,0.0421875
0.043,-0.008125,0.0440625
0.044,-0.0084375,0.04625
0.045,-0.00875,0.0478125
0.046,-0.009375,0.049375
0.047,-0.0096875,0.05125
0.048,-0.01,0.0525
0.049,-0.0103125,0.054375
0.05,-0.0109375,0.055625
0.051,-0.01125,0.0571875
0.052,-0.0115625,0.05875
0.053,-0.011875,0.0603125
0.054,-0.0125,0.0615625
0.055,-0.0128125,0.063125
0.056,-0.013125,0.064375
0.057,-0.0134375,0.0659375
0.058,-0.0140625,0.0671875
0.059,-0.0140625,0.0684375
0.06,-0.0146875,0.069375
0.061,-0.0146875,0.0703125
0.062,-0.015,0.0715625
0.063,-0.0153125,0.0721875
0.064,-0.0153125,0.073125
0.065,-0.015625,0.0734375
0.066,-0.0159375,0.074375
0.067,-0.01625,0.0746875
0.068,-0.01625,0.075
0.069,-0.0165625,0.075625
0.07,-0.0165625,0.0759375
0.071,-0.016875,0.07625
0.072,-0.0171875,0.0765625
0.073,-0.0171875,0.076875
0.074,-0.0175,0.0771875
0.075,-0.0178125,0.0775
0.076,-0.018125,0.0778125
0.077,-0.018125,0.078125
0.078,-0.018125,0.0784375
0.079,-0.0184375,0.07875
0.08,-0.0184375,0.07875
0.081,-0.0184375,0.0790625
0.082,-0.01875,0.0790625
0.083,-0.01875,0.0790625
0.084,-0.01875,0.0790625
0.085,-0.01875,0.07875
0.086,-0.01875,0.07875
0.087,-0.01875,0.07875
0.088,-0.01875,0.0784375
0.089,-0.01875,0.0784375
0.09,-0.01875,0.078125
0.091,-0.01875,0.078125
0.092,-0.01875,0.078125
0.093,-0.01875,0.0778125
0.094,-0.0190625,0.0778125
0.095,-0.0190625,0.0778125
0.096,-0.0190625,0.078125
0.097,-0.01875,0.078125
0.098,-0.01875,0.078125
0.099,-0.01875,0.078125
0.1,-0.01875,0.078125
0.101,-0.01875,0.078125
0.102,-0.01875,0.078125
0.103,-0.01875,0.078125
0.104,-0.0184375,0.0778125
0.105,-0.0184375,0.0778125
0.106,-0.0184375,0.0778125
0.107,-0.018125,0.0775
0.108,-0.018125,0.0775
0.109,-0.018125,0.0775
0.11,-0.018125,0.0771875
0.111,-0.018125,0.0771875
0.112,-0.018125,0.0771875
0.113,-0.018125,0.0771875
0.114,-0.018125,0.0771875
0.115,-0.018125,0.0771875
0.116,-0.0178125,0.0771875
0.117,-0.0178125,0.0775
0.118,-0.0178125,0.0775
0.119,-0.0178125,0.0778125
0.12,-0.0178125,0.0778125
0.121,-0.0175,0.0778125
0.122,-0.0175,0.0778125
0.123,-0.0175,0.0778125
0.124,-0.0171875,0.0778125
0.125,-0.0171875,0.0778125
0.126,-0.016875,0.0778125
0.127,-0.016875,0.0778125
0.128,-0.016875,0.0778125
0.129,-0.0165625,0.0778125
0.13,-0.0165625,0.0778125
0.131,-0.01625,0.0778125
0.132,-0.01625,0.0778125
0.133,-0.01625,0.078125
0.134,-0.0159375,0.0784375
0.135,-0.0159375,0.0784375
0.136,-0.0159375,0.0790625
0.137,-0.015625,0.0790625
0.138,-0.015625,0.0796875
0.139,-0.015625,0.08
0.14,-0.0153125,0.0803125
0.141,-0.0153125,0.080625
0.142,-0.015,0.0809375
0.143,-0.0146875,0.0809375
0.144,-0.0146875,0.08125
0.145,-0.014375,0.0815625
0.146,-0.014375,0.081875
0.147,-0.014375,0.081875
0.148,-0.0140625,0.081875
0.149,-0.0140625,0.0821875
0.15,-0.01375,0.0821875
0.151,-0.01375,0.0825
0.152,-0.01375,0.0828125
0.153,-0.01375,0.0828125
0.154,-0.01375,0.0834375
0.155,-0.01375,0.0834375
0.156,-0.01375,0.0840625
0.157,-0.01375,0.084375
0.158,-0.01375,0.0846875
0.159,-0.0140625,0.085
0.16,-0.0140625,0.0853125
0.161,-0.0140625,0.085625
0.162,-0.0140625,0.0859375
0.163,-0.0140625,0.0859375
0.164,-0.0140625,0.0859375
0.165,-0.0140625,0.08625
0.166,-0.0140625,0.08625
0.167,-0.014375,0.08625
0.168,-0.014375,0.08625
0.169,-0.014375,0.08625
0.17,-0.0146875,0.0865625
0.171,-0.015,0.0865625
0.172,-0.015,0.0865625
0.173,-0.015,0.086875
0.174,-0.015625,0.0871875
0.175,-0.015625,0.0871875
0.176,-0.015625,0.0875
0.177,-0.0159375,0.0878125
0.178,-0.01625,0.0878125
0.179,-0.0165625,0.0884375
0.18,-0.0165625,0.0884375
0.181,-0.0165625,0.08875
0.182,-0.016875,0.08875
0.183,-0.016875,0.08875
0.184,-0.016875,0.08875
0.185,-0.0171875,0.08875
0.186,-0.0171875,0.08875
0.187,-0.0171875,0.08875
0.188,-0.0175,0.08875
0.189,-0.0175,0.08875
0.19,-0.0175,0.08875
0.191,-0.0175,0.08875
0.192,-0.0178125,0.0884375
0.193,-0.0178125,0.08875
0.194,-0.0178125,0.08875
0.195,-0.0178125,0.08875
0.196,-0.0178125,0.08875
0.197,-0.018125,0.08875
0.198,-0.0178125,0.08875
0.199,-0.0178125,0.08875
0.2,-0.0178125,0.08875
0.201,-0.0178125,0.08875
0.202,-0.0178125,0.08875
0.203,-0.0178125,0.0884375
0.204,-0.0178125,0.088125
0.205,-0.0178125,0.088125
0.206,-0.0175,0.0878125
0.207,-0.0175,0.0875
0.208,-0.0175,0.0871875
0.209,-0.0175,0.086875
0.21,-0.0175,0.0865625
0.211,-0.0175,0.0865625
0.212,-0.0175,0.08625
0.213,-0.0175,0.0859375
0.214,-0.0175,0.0859375
0.215,-0.0175,0.085625
0.216,-0.0175,0.085625
0.217,-0.0175,0.085625
0.218,-0.0175,0.085625
0.219,-0.0175,0.0853125
0.22,-0.0178125,0.0853125
0.221,-0.0178125,0.0853125
0.222,-0.0178125,0.085
0.223,-0.0178125,0.085
0.224,-0.0178125,0.0846875
0.225,-0.0178125,0.084375
0.226,-0.0178125,0.084375
0.227,-0.0178125,0.0840625
0.228,-0.0178125,0.08375
0.229,-0.0178125,0.0834375
0.23,-0.0178125,0.083125
0.231,-0.0178125,0.083125
0.232,-0.018125,0.083125
0.233,-0.018125,0.083125
0.234,-0.018125,0.0828125
0.235,-0.018125,0.083125
0.236,-0.018125,0.083125
0.237,-0.018125,0.083125
0.238,-0.018125,0.083125
0.239,-0.018125,0.083125
0.24,-0.0178125,0.0834375
0.241,-0.0178125,0.0834375
0.242,-0.0178125,0.0834375
0.243,-0.0178125,0.0834375
0.244,-0.0178125,0.0834375
0.245,-0.0175,0.0834375
0.246,-0.0175,0.0834375
0.247,-0.0175,0.0834375
0.248,-0.0175,0.08375
0.249,-0.0175,0.08375
0.25,-0.0175,0.08375
0.251,-0.0175,0.08375
0.252,-0.0175,0.0840625
0.253,-0.0178125,0.084375
0.254,-0.0178125,0.084375
0.255,-0.0178125,0.0846875
0.256,-0.0178125,0.085
0.257,-0.0175,0.0853125
0.258,-0.0175,0.0853125
0.259,-0.0175,0.085625
0.26,-0.0175,0.0859375
0.261,-0.0175,0.08625
0.262,-0.0175,0.08625
0.263,-0.0175,0.0865625
0.264,-0.0171875,0.0865625
0.265,-0.0171875,0.0865625
0.266,-0.0171875,0.0865625
0.267,-0.0171875,0.0865625
0.268,-0.0171875,0.0865625
0.269,-0.016875,0.0865625
0.27,-0.016875,0.08625
0.271,-0.016875,0.08625
0.272,-0.016875,0.0865625
0.273,-0.016875,0.0865625
0.274,-0.016875,0.0865625
0.275,-0.016875,0.0865625
0.276,-0.0165625,0.0865625
0.277,-0.0165625,0.0865625
0.278,-0.0165625,0.0865625
0.279,-0.0165625,0.0865625
0.28,-0.01625,0.0865625
0.281,-0.01625,0.08625
0.282,-0.01625,0.08625
0.283,-0.0159375,0.08625
0.284,-0.0159375,0.0859375
0.285,-0.0159375,0.085625
0.286,-0.015625,0.0853125
0.287,-0.015625,0.0853125
0.288,-0.015625,0.0846875
0.289,-0.015625,0.0846875
0.29,-0.015625,0.084375
0.291,-0.015625,0.0840625
0.292,-0.015625,0.0840625
0.293,-0.015625,0.08375
0.294,-0.015625,0.08375
0.295,-0.015625,0.08375
0.296,-0.015625,0.0834375
0.297,-0.015625,0.0834375
0.298,-0.0159375,0.0834375
0.299,-0.0159375,0.0834375
0.3,-0.0159375,0.0834375
0.301,-0.01625,0.083125
0.302,-0.01625,0.083125
0.303,-0.0165625,0.0828125
0.304,-0.0165625,0.0825
0.305,-0.0165625,0.0825
0.306,-0.016875,0.0821875
0.307,-0.016875,0.081875
0.308,-0.0171875,0.0815625
0.309,-0.0171875,0.0815625
0.31,-0.0171875,0.0809375
0.311,-0.0175,0.0809375
0.312,-0.0175,0.0809375
0.313,-0.0178125,0.080625
0.314,-0.0178125,0.080625
0.315,-0.018125,0.080625
0.316,-0.018125,0.080625
0.317,-0.018125,0.080625
0.318,-0.0184375,0.080625
0.319,-0.0184375,0.0803125
0.32,-0.0184375,0.0803125
0.321,-0.0184375,0.0803125
0.322,-0.0184375,0.0803125
0.323,-0.0184375,0.0803125
0.324,-0.0184375,0.08
0.325,-0.0184375,0.08
0.326,-0.0184375,0.0796875
0.327,-0.0184375,0.0796875
0.328,-0.0184375,0.079375
0.329,-0.018125,0.079375
0.33,-0.018125,0.0790625
0.331,-0.018125,0.0790625
0.332,-0.018125,0.0790625
0.333,-0.018125,0.0790625
0.334,-0.018125,0.0790625
0.335,-0.0178125,0.0790625
0.336,-0.0178125,0.0790625
0.337,-0.0178125,0.0790625
0.338,-0.0175,0.079375
0.339,-0.0175,0.079375
0.34,-0.0171875,0.079375
0.341,-0.0171875,0.0796875
0.342,-0.0171875,0.0796875
0.343,-0.016875,0.08
0.344,-0.016875,0.08
0.345,-0.016875,0.08
0.346,-0.0165625,0.08
0.347,-0.0165625,0.08
0.348,-0.0165625,0.08
0.349,-0.01625,0.0803125
0.35,-0.01625,0.0803125
