Interval=,0.001 s,
ExcelDateTime=,4.54E+04,54:04.2
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV
0,0,0
0.001,0,0
0.002,0,0
0.003,0,0
0.004,0,0
0.005,0,0
0.006,0,0
0.007,0,0.0003125
0.008,0,0.000625
0.009,0,0.00125
0.01,0,0.0015625
0.011,0,0.0025
0.012,0,0.003125
0.013,0,0.004375
0.014,0,0.005625
0.015,0,0.006875
0.016,0,0.0084375
0.017,0,0.0103125
0.018,0,0.0125
0.019,0.0003125,0.0146875
0.02,0.0003125,0.016875
0.021,0.0003125,0.0196875
0.022,0.000625,0.0225
0.023,0.000625,0.0253125
0.024,0.0009375,0.0284375
0.025,0.00125,0.031875
0.026,0.00125,0.0353125
0.027,0.0015625,0.03875
0.028,0.0015625,0.0428125
0.029,0.0021875,0.0465625
0.03,0.0021875,0.0509375
0.031,0.0028125,0.0553125
0.032,0.003125,0.059375
0.033,0.0034375,0.0640625
0.034,0.00375,0.06875
0.035,0.004375,0.0734375
0.036,0.0046875,0.0784375
0.037,0.0053125,0.083125
0.038,0.005625,0.0878125
0.039,0.00625,0.0928125
0.04,0.0065625,0.0971875
0.041,0.0075,0.101875
0.042,0.0078125,0.10625
0.043,0.0084375,0.1103125
0.044,0.0090625,0.114375
0.045,0.0096875,0.118125
0.046,0.0103125,0.1215625
0.047,0.0109375,0.125
0.048,0.0115625,0.1278125
0.049,0.0125,0.130625
0.05,0.0128125,0.133125
0.051,0.01375,0.135
0.052,0.0140625,0.1371875
0.053,0.015,0.13875
0.054,0.0153125,0.1403125
0.055,0.01625,0.1415625
0.056,0.0165625,0.1421875
0.057,0.0175,0.1428125
0.058,0.0178125,0.1434375
0.059,0.0184375,0.1434375
0.06,0.019375,0.143125
0.061,0.0196875,0.1425
0.062,0.020625,0.141875
0.063,0.0209375,0.140625
0.064,0.02125,0.1390625
0.065,0.0221875,0.1375
0.066,0.0225,0.1353125
0.067,0.0228125,0.1334375
0.068,0.0234375,0.1309375
0.069,0.0240625,0.128125
0.07,0.024375,0.125625
0.071,0.025,0.1225
0.072,0.0253125,0.1196875
0.073,0.025625,0.11625
0.074,0.0259375,0.1134375
0.075,0.0265625,0.11
0.076,0.026875,0.106875
0.077,0.0271875,0.103125
0.078,0.0275,0.1
0.079,0.0278125,0.09625
0.08,0.028125,0.0928125
0.081,0.0284375,0.0890625
0.082,0.02875,0.0853125
0.083,0.0290625,0.0815625
0.084,0.029375,0.0778125
0.085,0.029375,0.0740625
0.086,0.0296875,0.07
0.087,0.0303125,0.06625
0.088,0.0303125,0.0625
0.089,0.030625,0.0584375
0.09,0.0309375,0.0546875
0.091,0.0309375,0.0509375
0.092,0.03125,0.0471875
0.093,0.0315625,0.0434375
0.094,0.031875,0.0396875
0.095,0.031875,0.03625
0.096,0.0321875,0.0325
0.097,0.0325,0.029375
0.098,0.0325,0.0259375
0.099,0.033125,0.0225
0.1,0.033125,0.019375
0.101,0.033125,0.0159375
0.102,0.0334375,0.0125
0.103,0.03375,0.009375
0.104,0.03375,0.0059375
0.105,0.0340625,0.0025
0.106,0.0340625,-0.0003125
0.107,0.034375,-0.00375
0.108,0.034375,-0.006875
0.109,0.0346875,-0.01
0.11,0.0346875,-0.013125
0.111,0.035,-0.01625
0.112,0.035,-0.01875
0.113,0.0353125,-0.021875
0.114,0.035625,-0.024375
0.115,0.035625,-0.0271875
0.116,0.0359375,-0.0296875
0.117,0.0359375,-0.0321875
0.118,0.03625,-0.034375
0.119,0.03625,-0.036875
0.12,0.0365625,-0.0390625
0.121,0.0365625,-0.04125
0.122,0.036875,-0.04375
0.123,0.036875,-0.0459375
0.124,0.0371875,-0.048125
0.125,0.0371875,-0.0503125
0.126,0.0371875,-0.0525
0.127,0.0375,-0.054375
0.128,0.0375,-0.0565625
0.129,0.0378125,-0.0584375
0.13,0.0378125,-0.060625
0.131,0.038125,-0.0621875
0.132,0.038125,-0.06375
0.133,0.038125,-0.065625
0.134,0.0384375,-0.066875
0.135,0.0384375,-0.06875
0.136,0.03875,-0.07
0.137,0.03875,-0.07125
0.138,0.0390625,-0.0725
0.139,0.0390625,-0.07375
0.14,0.039375,-0.075
0.141,0.039375,-0.07625
0.142,0.0396875,-0.0775
0.143,0.0396875,-0.07875
0.144,0.0396875,-0.08
0.145,0.04,-0.08125
0.146,0.04,-0.0825
0.147,0.04,-0.08375
0.148,0.0403125,-0.085
0.149,0.0403125,-0.08625
0.15,0.0403125,-0.0871875
0.151,0.040625,-0.088125
0.152,0.040625,-0.0890625
0.153,0.040625,-0.09
0.154,0.040625,-0.090625
0.155,0.0409375,-0.0915625
0.156,0.0409375,-0.091875
0.157,0.0409375,-0.0928125
0.158,0.0409375,-0.093125
0.159,0.0409375,-0.09375
0.16,0.04125,-0.094375
0.161,0.04125,-0.0946875
0.162,0.04125,-0.095
0.163,0.04125,-0.0959375
0.164,0.04125,-0.09625
0.165,0.04125,-0.096875
0.166,0.0415625,-0.0975
0.167,0.0415625,-0.0978125
0.168,0.0415625,-0.0984375
0.169,0.0415625,-0.099375
0.17,0.0415625,-0.0996875
0.171,0.0415625,-0.1003125
0.172,0.0415625,-0.100625
0.173,0.0415625,-0.10125
0.174,0.041875,-0.10125
0.175,0.041875,-0.101875
0.176,0.041875,-0.101875
0.177,0.041875,-0.1021875
0.178,0.041875,-0.1025
0.179,0.0421875,-0.1028125
0.18,0.0421875,-0.1028125
0.181,0.0421875,-0.103125
0.182,0.0421875,-0.1034375
0.183,0.0421875,-0.1034375
0.184,0.0421875,-0.1040625
0.185,0.0421875,-0.104375
0.186,0.0421875,-0.104375
0.187,0.0421875,-0.1046875
0.188,0.0425,-0.1053125
0.189,0.0425,-0.105625
0.19,0.0425,-0.105625
0.191,0.0425,-0.1059375
0.192,0.0425,-0.10625
0.193,0.0428125,-0.10625
0.194,0.0428125,-0.10625
0.195,0.043125,-0.10625
0.196,0.043125,-0.1059375
0.197,0.043125,-0.1059375
0.198,0.0434375,-0.1059375
0.199,0.0434375,-0.105625
0.2,0.0434375,-0.1053125
0.201,0.04375,-0.1053125
0.202,0.04375,-0.105
0.203,0.04375,-0.104375
0.204,0.04375,-0.104375
0.205,0.04375,-0.1040625
0.206,0.04375,-0.10375
0.207,0.04375,-0.1034375
0.208,0.04375,-0.103125
0.209,0.04375,-0.1028125
0.21,0.04375,-0.1025
0.211,0.04375,-0.101875
0.212,0.04375,-0.1015625
0.213,0.04375,-0.10125
0.214,0.04375,-0.100625
0.215,0.04375,-0.0996875
0.216,0.0434375,-0.099375
0.217,0.0434375,-0.0984375
0.218,0.0434375,-0.0978125
0.219,0.0434375,-0.096875
0.22,0.0434375,-0.09625
0.221,0.043125,-0.0953125
0.222,0.043125,-0.0946875
0.223,0.043125,-0.09375
0.224,0.0428125,-0.093125
0.225,0.0428125,-0.0921875
0.226,0.0425,-0.0915625
0.227,0.0425,-0.090625
0.228,0.0421875,-0.09
0.229,0.0421875,-0.0890625
0.23,0.041875,-0.0884375
0.231,0.041875,-0.0875
0.232,0.041875,-0.0865625
0.233,0.0415625,-0.0853125
0.234,0.0415625,-0.084375
0.235,0.0415625,-0.0834375
0.236,0.04125,-0.0825
0.237,0.04125,-0.08125
0.238,0.0409375,-0.08
0.239,0.0409375,-0.0790625
0.24,0.0409375,-0.0778125
0.241,0.0409375,-0.0765625
0.242,0.040625,-0.0753125
0.243,0.040625,-0.074375
0.244,0.040625,-0.0734375
0.245,0.0403125,-0.0721875
0.246,0.0403125,-0.07125
0.247,0.0403125,-0.0703125
0.248,0.04,-0.069375
0.249,0.04,-0.068125
0.25,0.04,-0.0671875
0.251,0.0396875,-0.06625
0.252,0.0396875,-0.065
0.253,0.039375,-0.0640625
