Interval=,0.001 s,
ExcelDateTime=,4.54E+04,11:05.1
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV
0,0,0
0.001,0,0
0.002,-0.0003125,0
0.003,-0.0003125,0
0.004,-0.0003125,0
0.005,-0.000625,0
0.006,-0.00125,0
0.007,-0.001875,0
0.008,-0.003125,0
0.009,-0.004375,0
0.01,-0.0065625,0
0.011,-0.00875,0
0.012,-0.0115625,0
0.013,-0.0146875,0.0003125
0.014,-0.0184375,0.0003125
0.015,-0.0225,0.0003125
0.016,-0.026875,0.000625
0.017,-0.0315625,0.000625
0.018,-0.03625,0.0003125
0.019,-0.04125,0.0003125
0.02,-0.0459375,0.0003125
0.021,-0.050625,-0.0003125
0.022,-0.0553125,-0.000625
0.023,-0.059375,-0.0015625
0.024,-0.06375,-0.001875
0.025,-0.0675,-0.0028125
0.026,-0.07125,-0.00375
0.027,-0.075,-0.005
0.028,-0.0784375,-0.00625
0.029,-0.081875,-0.0075
0.03,-0.085625,-0.0090625
0.031,-0.089375,-0.010625
0.032,-0.093125,-0.0121875
0.033,-0.0975,-0.01375
0.034,-0.1015625,-0.0153125
0.035,-0.10625,-0.016875
0.036,-0.1103125,-0.01875
0.037,-0.114375,-0.0203125
0.038,-0.1184375,-0.0225
0.039,-0.1221875,-0.0240625
0.04,-0.125,-0.02625
0.041,-0.1275,-0.028125
0.042,-0.1290625,-0.0303125
0.043,-0.13,-0.0325
0.044,-0.1303125,-0.035
0.045,-0.129375,-0.0375
0.046,-0.128125,-0.04
0.047,-0.1265625,-0.0425
0.048,-0.1240625,-0.045
0.049,-0.1215625,-0.0478125
0.05,-0.1190625,-0.0503125
0.051,-0.1165625,-0.0525
0.052,-0.1146875,-0.0546875
0.053,-0.1128125,-0.056875
0.054,-0.11125,-0.0590625
0.055,-0.1103125,-0.0603125
0.056,-0.1096875,-0.0621875
0.057,-0.1090625,-0.0634375
0.058,-0.1090625,-0.0646875
0.059,-0.10875,-0.0659375
0.06,-0.1084375,-0.0671875
0.061,-0.1078125,-0.0678125
0.062,-0.106875,-0.0690625
0.063,-0.105625,-0.07
0.064,-0.10375,-0.070625
0.065,-0.1015625,-0.071875
0.066,-0.09875,-0.0725
0.067,-0.095625,-0.0734375
0.068,-0.0925,-0.074375
0.069,-0.0890625,-0.075
0.07,-0.085625,-0.0759375
0.071,-0.0825,-0.076875
0.072,-0.0796875,-0.0775
0.073,-0.076875,-0.0778125
0.074,-0.0746875,-0.078125
0.075,-0.073125,-0.0784375
0.076,-0.071875,-0.07875
0.077,-0.070625,-0.07875
0.078,-0.07,-0.07875
0.079,-0.0690625,-0.07875
0.08,-0.06875,-0.0784375
0.081,-0.0678125,-0.0784375
0.082,-0.0671875,-0.078125
0.083,-0.0659375,-0.078125
0.084,-0.064375,-0.078125
0.085,-0.0625,-0.0778125
0.086,-0.0603125,-0.0778125
0.087,-0.058125,-0.0778125
0.088,-0.055625,-0.0778125
0.089,-0.053125,-0.0778125
0.09,-0.050625,-0.0778125
0.091,-0.0484375,-0.0778125
0.092,-0.04625,-0.0778125
0.093,-0.044375,-0.0778125
0.094,-0.043125,-0.0771875
0.095,-0.0421875,-0.0771875
0.096,-0.0415625,-0.0765625
0.097,-0.04125,-0.07625
0.098,-0.04125,-0.0753125
0.099,-0.0415625,-0.075
0.1,-0.0421875,-0.0740625
0.101,-0.0425,-0.07375
0.102,-0.043125,-0.0728125
0.103,-0.04375,-0.071875
0.104,-0.0440625,-0.0715625
0.105,-0.044375,-0.070625
0.106,-0.0446875,-0.07
0.107,-0.045,-0.069375
0.108,-0.045,-0.06875
0.109,-0.0453125,-0.0684375
0.11,-0.0453125,-0.0675
0.111,-0.045625,-0.066875
0.112,-0.0459375,-0.06625
0.113,-0.04625,-0.0659375
0.114,-0.0471875,-0.0653125
0.115,-0.0478125,-0.0646875
0.116,-0.04875,-0.064375
0.117,-0.0496875,-0.0634375
0.118,-0.0509375,-0.063125
0.119,-0.0521875,-0.0621875
0.12,-0.053125,-0.061875
0.121,-0.0540625,-0.0609375
0.122,-0.055,-0.060625
0.123,-0.0559375,-0.06
0.124,-0.05625,-0.0596875
0.125,-0.0565625,-0.059375
