Interval=,0.001 s,
ExcelDateTime=,4.54E+04,41:18.8
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV
0,0,0
0.001,0,0
0.002,-0.0003125,-0.0003125
0.003,-0.0003125,-0.0003125
0.004,-0.0003125,-0.0003125
0.005,-0.0009375,-0.0003125
0.006,-0.0021875,-0.0003125
0.007,-0.004375,-0.000625
0.008,-0.0078125,-0.00125
0.009,-0.0125,-0.0015625
0.01,-0.019375,-0.0021875
0.011,-0.0284375,-0.003125
0.012,-0.0403125,-0.0040625
0.013,-0.055,-0.0053125
0.014,-0.073125,-0.0071875
0.015,-0.0946875,-0.00875
0.016,-0.1196875,-0.01125
0.017,-0.14875,-0.01375
0.018,-0.1809375,-0.0165625
0.019,-0.216875,-0.0196875
0.02,-0.2559375,-0.0234375
0.021,-0.2978125,-0.0275
0.022,-0.3425,-0.0315625
0.023,-0.389375,-0.0365625
0.024,-0.43875,-0.0415625
0.025,-0.489375,-0.0465625
0.026,-0.5421875,-0.0525
0.027,-0.59625,-0.058125
0.028,-0.6521875,-0.064375
0.029,-0.71,-0.0709375
0.03,-0.769375,-0.0775
0.031,-0.830625,-0.0846875
0.032,-0.89375,-0.0915625
0.033,-0.959375,-0.0990625
0.034,-1.026875,-0.106875
0.035,-1.096875,-0.1146875
0.036,-1.16875,-0.1225
0.037,-1.241875,-0.130625
0.038,-1.31625,-0.1390625
0.039,-1.390937,-0.146875
0.04,-1.465313,-0.1553125
0.041,-1.539375,-0.16375
0.042,-1.611563,-0.1715625
0.043,-1.68125,-0.179375
0.044,-1.748438,-0.1875
0.045,-1.811875,-0.195
0.046,-1.871563,-0.2021875
0.047,-1.927188,-0.2090625
0.048,-1.97875,-0.215625
0.049,-2.02625,-0.2221875
0.05,-2.070313,-0.228125
0.051,-2.110937,-0.2334375
0.052,-2.14875,-0.23875
0.053,-2.184063,-0.24375
0.054,-2.2175,-0.2484375
0.055,-2.249375,-0.2525
0.056,-2.280313,-0.25625
0.057,-2.31,-0.26
0.058,-2.33875,-0.263125
0.059,-2.36625,-0.26625
0.06,-2.3925,-0.2690625
0.061,-2.416875,-0.2715625
0.062,-2.439062,-0.2734375
0.063,-2.459062,-0.275625
0.064,-2.47625,-0.2771875
0.065,-2.490625,-0.2784375
0.066,-2.501875,-0.279375
0.067,-2.509688,-0.2803125
0.068,-2.515,-0.280625
0.069,-2.5175,-0.28125
0.07,-2.517813,-0.28125
0.071,-2.516875,-0.2809375
0.072,-2.514375,-0.280625
0.073,-2.511875,-0.2803125
0.074,-2.509063,-0.2796875
0.075,-2.507188,-0.27875
0.076,-2.505937,-0.2778125
0.077,-2.505937,-0.2771875
0.078,-2.506875,-0.2759375
0.079,-2.50875,-0.2746875
0.08,-2.511563,-0.2734375
0.081,-2.514375,-0.2721875
0.082,-2.5175,-0.2709375
0.083,-2.52,-0.2690625
0.084,-2.52125,-0.2675
0.085,-2.521562,-0.2659375
