Interval=,0.001 s,
ExcelDateTime=,4.54E+04,46:17.2
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV
0,0,0
0.001,0,0
0.002,0,0
0.003,0,0
0.004,0,0
0.005,0,0
0.006,0,0
0.007,0,0
0.008,0,-0.0003125
0.009,0,-0.0003125
0.01,0,-0.0003125
0.011,0,-0.0003125
0.012,0.0003125,-0.0003125
0.013,0.0003125,-0.0003125
0.014,0.000625,-0.0003125
0.015,0.0009375,-0.0003125
0.016,0.0009375,-0.000625
0.017,0.0015625,-0.000625
0.018,0.0015625,-0.000625
0.019,0.0021875,-0.0009375
0.02,0.0025,-0.0009375
0.021,0.003125,-0.00125
0.022,0.0034375,-0.0015625
0.023,0.004375,-0.0015625
0.024,0.0046875,-0.001875
0.025,0.005625,-0.001875
0.026,0.0059375,-0.001875
0.027,0.006875,-0.0021875
0.028,0.0075,-0.0021875
0.029,0.0084375,-0.0025
0.03,0.0090625,-0.0025
0.031,0.009375,-0.0025
0.032,0.0103125,-0.0025
0.033,0.01125,-0.0021875
0.034,0.0115625,-0.0021875
0.035,0.0125,-0.0021875
0.036,0.0134375,-0.0021875
0.037,0.01375,-0.0021875
0.038,0.0146875,-0.0021875
0.039,0.0153125,-0.0021875
0.04,0.01625,-0.001875
0.041,0.0165625,-0.001875
0.042,0.0175,-0.0015625
0.043,0.018125,-0.0015625
0.044,0.0184375,-0.0015625
0.045,0.019375,-0.00125
0.046,0.0196875,-0.0009375
0.047,0.0203125,-0.000625
0.048,0.020625,-0.0003125
0.049,0.0209375,0.0003125
0.05,0.02125,0.000625
0.051,0.0215625,0.00125
0.052,0.0215625,0.0015625
0.053,0.021875,0.001875
0.054,0.0221875,0.0028125
0.055,0.0221875,0.003125
0.056,0.0225,0.0034375
0.057,0.0225,0.0040625
0.058,0.0225,0.0046875
0.059,0.0228125,0.005
0.06,0.0228125,0.0053125
0.061,0.023125,0.0059375
0.062,0.023125,0.0059375
0.063,0.0234375,0.00625
0.064,0.02375,0.006875
0.065,0.02375,0.006875
0.066,0.0240625,0.0075
0.067,0.0240625,0.0078125
0.068,0.024375,0.0078125
0.069,0.024375,0.008125
0.07,0.024375,0.0084375
0.071,0.0246875,0.00875
0.072,0.0246875,0.00875
0.073,0.025,0.009375
0.074,0.0253125,0.009375
0.075,0.0253125,0.009375
0.076,0.025625,0.0096875
0.077,0.025625,0.0096875
0.078,0.0259375,0.0096875
0.079,0.0265625,0.0096875
0.08,0.0265625,0.0096875
0.081,0.0271875,0.0096875
0.082,0.0275,0.0096875
0.083,0.0278125,0.009375
0.084,0.028125,0.009375
0.085,0.0284375,0.0090625
0.086,0.02875,0.0090625
0.087,0.0290625,0.0090625
0.088,0.0290625,0.0090625
0.089,0.0290625,0.0090625
0.09,0.029375,0.009375
0.091,0.029375,0.009375
0.092,0.029375,0.009375
0.093,0.029375,0.0096875
0.094,0.0290625,0.0096875
0.095,0.0290625,0.01
0.096,0.0290625,0.01
0.097,0.0290625,0.01
0.098,0.0290625,0.0103125
0.099,0.02875,0.0103125
0.1,0.02875,0.0103125
0.101,0.02875,0.0103125
0.102,0.02875,0.0103125
0.103,0.02875,0.0103125
0.104,0.02875,0.0103125
0.105,0.02875,0.0103125
0.106,0.0284375,0.0103125
0.107,0.0284375,0.0103125
0.108,0.0284375,0.0103125
0.109,0.028125,0.0103125
0.11,0.028125,0.010625
0.111,0.0278125,0.010625
0.112,0.0275,0.010625
0.113,0.0275,0.0109375
0.114,0.0271875,0.0109375
0.115,0.026875,0.0109375
0.116,0.0265625,0.0109375
0.117,0.0265625,0.0109375
0.118,0.0265625,0.0109375
0.119,0.0265625,0.010625
0.12,0.0265625,0.010625
0.121,0.0265625,0.010625
0.122,0.0265625,0.0103125
0.123,0.0265625,0.01
0.124,0.0265625,0.0096875
0.125,0.026875,0.0096875
0.126,0.026875,0.009375
0.127,0.026875,0.0090625
0.128,0.0271875,0.0090625
0.129,0.0271875,0.0090625
0.13,0.0271875,0.00875
0.131,0.0271875,0.00875
0.132,0.0271875,0.00875
0.133,0.0271875,0.00875
0.134,0.0271875,0.0090625
0.135,0.026875,0.0090625
0.136,0.026875,0.0090625
0.137,0.026875,0.0090625
0.138,0.026875,0.0090625
0.139,0.026875,0.0090625
0.14,0.0265625,0.0090625
0.141,0.0265625,0.0090625
0.142,0.0265625,0.009375
0.143,0.0265625,0.009375
0.144,0.0265625,0.009375
0.145,0.0265625,0.009375
0.146,0.0265625,0.009375
0.147,0.0265625,0.009375
0.148,0.0265625,0.009375
0.149,0.0265625,0.009375
0.15,0.0265625,0.0096875
0.151,0.02625,0.0096875
0.152,0.02625,0.01
0.153,0.02625,0.01
0.154,0.02625,0.0103125
0.155,0.02625,0.0103125
0.156,0.0259375,0.0103125
0.157,0.0259375,0.010625
0.158,0.0259375,0.010625
0.159,0.0259375,0.0109375
0.16,0.02625,0.0109375
0.161,0.02625,0.0109375
0.162,0.02625,0.0109375
0.163,0.02625,0.0109375
0.164,0.02625,0.0109375
0.165,0.0265625,0.0109375
0.166,0.0265625,0.0109375
0.167,0.0265625,0.0109375
0.168,0.0265625,0.0109375
0.169,0.0265625,0.01125
0.17,0.0265625,0.01125
0.171,0.0265625,0.0115625
0.172,0.0265625,0.011875
0.173,0.0265625,0.011875
0.174,0.0265625,0.0121875
0.175,0.0265625,0.0121875
0.176,0.0265625,0.0128125
0.177,0.0265625,0.0128125
0.178,0.0265625,0.013125
0.179,0.0265625,0.013125
0.18,0.0265625,0.0134375
0.181,0.0265625,0.01375
0.182,0.0265625,0.01375
0.183,0.0265625,0.0140625
0.184,0.0265625,0.014375
0.185,0.0265625,0.014375
0.186,0.02625,0.0146875
0.187,0.02625,0.015
0.188,0.0259375,0.015
0.189,0.025625,0.0153125
0.19,0.0253125,0.015625
0.191,0.025,0.0159375
0.192,0.0246875,0.01625
0.193,0.0240625,0.0165625
0.194,0.02375,0.016875
0.195,0.0234375,0.016875
0.196,0.0228125,0.0171875
0.197,0.0225,0.0175
0.198,0.0221875,0.0178125
0.199,0.0215625,0.0178125
0.2,0.0215625,0.0178125
0.201,0.0209375,0.0178125
0.202,0.0209375,0.0178125
0.203,0.020625,0.0178125
0.204,0.0203125,0.0178125
0.205,0.0203125,0.0178125
0.206,0.0196875,0.0178125
0.207,0.0196875,0.018125
0.208,0.019375,0.018125
0.209,0.0190625,0.018125
0.21,0.0190625,0.018125
0.211,0.0184375,0.018125
0.212,0.018125,0.018125
0.213,0.018125,0.018125
0.214,0.0178125,0.018125
0.215,0.0175,0.018125
0.216,0.0175,0.018125
0.217,0.0175,0.018125
0.218,0.0175,0.018125
0.219,0.0175,0.018125
0.22,0.0175,0.018125
0.221,0.0175,0.018125
0.222,0.0178125,0.0178125
0.223,0.018125,0.0178125
0.224,0.0184375,0.0178125
0.225,0.0184375,0.0175
0.226,0.0190625,0.0175
0.227,0.019375,0.0175
0.228,0.019375,0.0175
0.229,0.0196875,0.0178125
0.23,0.02,0.0178125
0.231,0.0203125,0.0178125
0.232,0.0203125,0.0178125
0.233,0.0209375,0.0178125
0.234,0.0209375,0.018125
0.235,0.02125,0.018125
0.236,0.0215625,0.018125
0.237,0.021875,0.018125
0.238,0.0221875,0.018125
0.239,0.0225,0.018125
0.24,0.0228125,0.0178125
0.241,0.023125,0.0178125
0.242,0.02375,0.0175
0.243,0.02375,0.0175
0.244,0.024375,0.0171875
0.245,0.024375,0.016875
0.246,0.025,0.016875
0.247,0.025,0.016875
0.248,0.025,0.0165625
0.249,0.0253125,0.0165625
0.25,0.0253125,0.01625
0.251,0.0253125,0.01625
0.252,0.0253125,0.01625
0.253,0.0253125,0.01625
0.254,0.0253125,0.01625
0.255,0.0253125,0.01625
0.256,0.0253125,0.01625
0.257,0.0253125,0.01625
0.258,0.025,0.01625
0.259,0.025,0.01625
0.26,0.025,0.01625
0.261,0.0253125,0.01625
0.262,0.0253125,0.0159375
0.263,0.0253125,0.0159375
0.264,0.0253125,0.0159375
0.265,0.0253125,0.0159375
0.266,0.0253125,0.0159375
0.267,0.025,0.0159375
0.268,0.025,0.0159375
0.269,0.025,0.0159375
0.27,0.025,0.01625
0.271,0.025,0.0165625
0.272,0.0246875,0.0165625
0.273,0.0246875,0.016875
0.274,0.0246875,0.0171875
0.275,0.024375,0.0175
0.276,0.024375,0.0175
0.277,0.024375,0.018125
0.278,0.024375,0.018125
0.279,0.0246875,0.0184375
0.28,0.0246875,0.0184375
0.281,0.0246875,0.0184375
0.282,0.025,0.01875
0.283,0.025,0.01875
0.284,0.0253125,0.01875
0.285,0.025625,0.01875
0.286,0.0259375,0.0184375
0.287,0.0259375,0.0184375
0.288,0.02625,0.0184375
0.289,0.02625,0.0184375
0.29,0.02625,0.01875
0.291,0.0265625,0.01875
0.292,0.0265625,0.01875
0.293,0.02625,0.01875
0.294,0.02625,0.0184375
0.295,0.02625,0.0184375
0.296,0.02625,0.0184375
0.297,0.02625,0.0184375
0.298,0.02625,0.0184375
0.299,0.02625,0.018125
0.3,0.02625,0.018125
0.301,0.02625,0.0178125
0.302,0.0265625,0.0175
0.303,0.0265625,0.0171875
0.304,0.0265625,0.016875
0.305,0.026875,0.0165625
0.306,0.026875,0.01625
0.307,0.026875,0.015625
0.308,0.026875,0.015625
0.309,0.026875,0.015
0.31,0.026875,0.015
0.311,0.026875,0.014375
0.312,0.0265625,0.014375
0.313,0.0265625,0.0140625
0.314,0.0265625,0.01375
0.315,0.02625,0.01375
0.316,0.02625,0.013125
0.317,0.02625,0.013125
0.318,0.0259375,0.0128125
0.319,0.0259375,0.0125
0.32,0.0259375,0.0125
0.321,0.0259375,0.011875
0.322,0.025625,0.0115625
0.323,0.025625,0.0115625
0.324,0.025625,0.0109375
0.325,0.025625,0.0109375
0.326,0.025625,0.010625
0.327,0.025625,0.0103125
0.328,0.025625,0.0103125
0.329,0.0253125,0.01
0.33,0.0253125,0.01
0.331,0.025,0.01
0.332,0.0246875,0.01
0.333,0.0246875,0.01
0.334,0.024375,0.01
0.335,0.0240625,0.01
0.336,0.0240625,0.01
0.337,0.02375,0.0103125
0.338,0.0234375,0.0103125
0.339,0.0234375,0.0103125
0.34,0.023125,0.0103125
0.341,0.023125,0.0103125
0.342,0.023125,0.0103125
0.343,0.023125,0.0103125
0.344,0.023125,0.0103125
0.345,0.023125,0.0103125
0.346,0.023125,0.0103125
0.347,0.023125,0.0103125
0.348,0.023125,0.010625
0.349,0.023125,0.010625
0.35,0.023125,0.010625
0.351,0.023125,0.0109375
0.352,0.023125,0.01125
0.353,0.023125,0.01125
0.354,0.023125,0.0115625
0.355,0.0234375,0.0121875
0.356,0.0234375,0.0121875
0.357,0.0234375,0.0128125
0.358,0.02375,0.013125
0.359,0.02375,0.0134375
0.36,0.0240625,0.0134375
0.361,0.024375,0.01375
0.362,0.024375,0.014375
0.363,0.0246875,0.014375
0.364,0.0253125,0.0146875
0.365,0.025625,0.015
0.366,0.025625,0.015
0.367,0.0259375,0.015625
0.368,0.02625,0.015625
0.369,0.0265625,0.0159375
0.37,0.0265625,0.01625
0.371,0.0265625,0.0165625
0.372,0.026875,0.016875
0.373,0.026875,0.0171875
0.374,0.026875,0.0175
0.375,0.026875,0.0178125
0.376,0.026875,0.018125
0.377,0.026875,0.0184375
0.378,0.026875,0.01875
0.379,0.026875,0.0190625
0.38,0.026875,0.0190625
0.381,0.0271875,0.0190625
0.382,0.0271875,0.019375
0.383,0.0271875,0.019375
0.384,0.0271875,0.019375
0.385,0.026875,0.019375
0.386,0.026875,0.019375
0.387,0.026875,0.019375
0.388,0.026875,0.0190625
0.389,0.026875,0.0190625
0.39,0.026875,0.01875
0.391,0.0265625,0.01875
0.392,0.0265625,0.01875
0.393,0.0265625,0.0184375
0.394,0.02625,0.0184375
0.395,0.02625,0.018125
0.396,0.02625,0.0178125
0.397,0.0259375,0.0178125
0.398,0.0259375,0.0175
0.399,0.025625,0.0171875
0.4,0.025625,0.0171875
0.401,0.025625,0.016875
0.402,0.025625,0.016875
0.403,0.025625,0.0165625
0.404,0.0253125,0.01625
0.405,0.0253125,0.0159375
0.406,0.0253125,0.0159375
0.407,0.0253125,0.015625
0.408,0.0253125,0.015625
