Interval=,0.001 s,
ExcelDateTime=,4.54E+04,11:43.4
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV 

0.001,0,0
0.002,0,-0.0003125
0.003,0,-0.0003125
0.004,0.0003125,-0.0003125
0.005,0.0009375,-0.0003125
0.006,0.00125,-0.0003125
0.007,0.0021875,-0.000625
0.008,0.0034375,-0.0009375
0.009,0.0046875,-0.00125
0.01,0.00625,-0.001875
0.011,0.0084375,-0.0021875
0.012,0.01,-0.0028125
0.013,0.0125,-0.00375
0.014,0.0146875,-0.0046875
0.015,0.016875,-0.0053125
0.016,0.01875,-0.0065625
0.017,0.020625,-0.0071875
0.018,0.0221875,-0.0084375
0.019,0.023125,-0.0090625
0.02,0.0240625,-0.01
0.021,0.0240625,-0.0109375
0.022,0.0240625,-0.01125
0.023,0.0234375,-0.0121875
0.024,0.023125,-0.0125
0.025,0.0221875,-0.013125
0.026,0.0215625,-0.013125
0.027,0.0209375,-0.01375
0.028,0.020625,-0.01375
0.029,0.0203125,-0.014375
0.03,0.0203125,-0.014375
0.031,0.020625,-0.0146875
0.032,0.0215625,-0.015
0.033,0.0225,-0.015625
0.034,0.023125,-0.0159375
0.035,0.0240625,-0.01625
0.036,0.0246875,-0.016875
0.037,0.025,-0.0171875
0.038,0.0246875,-0.0175
0.039,0.0240625,-0.0178125
0.04,0.0228125,-0.0178125
0.041,0.020625,-0.0175
0.042,0.018125,-0.0171875
0.043,0.0153125,-0.016875
0.044,0.011875,-0.01625
0.045,0.00875,-0.0153125
0.046,0.005625,-0.0146875
0.047,0.0025,-0.0134375
0.048,0,-0.0125
0.049,-0.001875,-0.01125
0.05,-0.0028125,-0.01
0.051,-0.0034375,-0.0090625
0.052,-0.003125,-0.0084375
0.053,-0.0021875,-0.0075
0.054,-0.0009375,-0.0065625
0.055,0.000625,-0.00625
0.056,0.0028125,-0.0059375
0.057,0.004375,-0.0053125
0.058,0.0059375,-0.005
0.059,0.0071875,-0.004375
0.06,0.0075,-0.0040625
0.061,0.0075,-0.003125
0.062,0.006875,-0.0021875
0.063,0.005625,-0.0015625
0.064,0.004375,-0.0003125
0.065,0.0021875,0.00125
0.066,0.000625,0.0025
0.067,-0.0009375,0.004375
0.068,-0.0025,0.0059375
0.069,-0.003125,0.008125
0.07,-0.0034375,0.0096875
0.071,-0.003125,0.0115625
0.072,-0.0025,0.013125
0.073,-0.00125,0.0153125
0.074,0.000625,0.016875
0.075,0.0025,0.0190625
0.076,0.0040625,0.020625
0.077,0.005625,0.0228125
0.078,0.006875,0.025
0.079,0.0075,0.0271875
0.08,0.0071875,0.0296875
0.081,0.00625,0.0325
0.082,0.0046875,0.035625
0.083,0.0025,0.0390625
0.084,-0.0003125,0.0428125
0.085,-0.00375,0.046875
0.086,-0.006875,0.05125
0.087,-0.010625,0.0559375
0.088,-0.01375,0.0609375
0.089,-0.0165625,0.0659375
0.09,-0.0190625,0.07125
0.091,-0.02125,0.0765625
0.092,-0.0228125,0.081875
0.093,-0.0240625,0.0875
0.094,-0.0253125,0.0928125
0.095,-0.0259375,0.0984375
0.096,-0.0271875,0.104375
0.097,-0.0284375,0.1103125
0.098,-0.03,0.11625
0.099,-0.0325,0.1225
0.1,-0.035625,0.1290625
0.101,-0.039375,0.135625
0.102,-0.04375,0.1428125
0.103,-0.04875,0.15
0.104,-0.0546875,0.1575
0.105,-0.060625,0.1653125
0.106,-0.0665625,0.1734375
0.107,-0.0728125,0.1815625
0.108,-0.07875,0.19
0.109,-0.0840625,0.1984375
0.11,-0.0890625,0.206875
0.111,-0.0934375,0.2153125
0.112,-0.0975,0.22375
0.113,-0.100625,0.2321875
0.114,-0.1040625,0.24
0.115,-0.106875,0.2484375
0.116,-0.1096875,0.25625
0.117,-0.1128125,0.2640625
0.118,-0.11625,0.271875
0.119,-0.12,0.2796875
0.12,-0.1246875,0.2871875
0.121,-0.1296875,0.295
0.122,-0.1353125,0.3028125
0.123,-0.1415625,0.310625
0.124,-0.1478125,0.3184375
0.125,-0.1546875,0.3259375
0.126,-0.16125,0.33375
0.127,-0.1678125,0.3415625
0.128,-0.1740625,0.3490625
0.129,-0.18,0.35625
0.13,-0.185,0.3634375
0.131,-0.189375,0.3703125
0.132,-0.193125,0.376875
0.133,-0.19625,0.383125
0.134,-0.199375,0.3890625
0.135,-0.201875,0.394375
0.136,-0.2040625,0.3996875
0.137,-0.2065625,0.4046875
0.138,-0.2090625,0.4090625
0.139,-0.211875,0.41375
0.14,-0.215625,0.4178125
0.141,-0.219375,0.4221875
0.142,-0.22375,0.4259375
0.143,-0.22875,0.43
0.144,-0.23375,0.43375
0.145,-0.23875,0.4371875
0.146,-0.2440625,0.4409375
0.147,-0.2490625,0.4440625
0.148,-0.25375,0.4475
0.149,-0.2578125,0.4503125
0.15,-0.2609375,0.453125
0.151,-0.26375,0.455625
0.152,-0.265625,0.4575
0.153,-0.2671875,0.459375
0.154,-0.268125,0.4609375
0.155,-0.2684375,0.4621875
0.156,-0.269375,0.4628125
0.157,-0.2696875,0.46375
0.158,-0.270625,0.4640625
0.159,-0.2715625,0.464375
0.16,-0.2734375,0.4646875
0.161,-0.275625,0.4646875
0.162,-0.278125,0.4646875
0.163,-0.28125,0.4646875
0.164,-0.2846875,0.4646875
0.165,-0.288125,0.464375
0.166,-0.291875,0.464375
0.167,-0.2953125,0.4640625
0.168,-0.2984375,0.46375
0.169,-0.3009375,0.4634375
0.17,-0.303125,0.4625
0.171,-0.304375,0.4615625
0.172,-0.3053125,0.4603125
0.173,-0.3053125,0.4590625
0.174,-0.3053125,0.4575
0.175,-0.3046875,0.4553125
0.176,-0.304375,0.453125
0.177,-0.30375,0.4509375
0.178,-0.30375,0.4484375
0.179,-0.30375,0.4459375
0.18,-0.3046875,0.443125
0.181,-0.3059375,0.4403125
0.182,-0.3075,0.4378125
0.183,-0.3096875,0.435
0.184,-0.3121875,0.4325
0.185,-0.315,0.43
0.186,-0.3175,0.4271875
0.187,-0.32,0.4246875
0.188,-0.321875,0.4221875
0.189,-0.3234375,0.4196875
0.19,-0.324375,0.4165625
0.191,-0.3246875,0.4140625
0.192,-0.324375,0.4109375
0.193,-0.3234375,0.4078125
0.194,-0.321875,0.404375
0.195,-0.3203125,0.4009375
0.196,-0.31875,0.3971875
0.197,-0.3165625,0.3934375
0.198,-0.3153125,0.3896875
0.199,-0.3140625,0.3859375
0.2,-0.313125,0.3821875
0.201,-0.313125,0.37875
0.202,-0.3134375,0.375
0.203,-0.31375,0.3715625
0.204,-0.3146875,0.368125
0.205,-0.3159375,0.365
0.206,-0.316875,0.361875
0.207,-0.3178125,0.35875
0.208,-0.318125,0.3559375
0.209,-0.318125,0.353125
0.21,-0.3175,0.35
0.211,-0.31625,0.3471875
0.212,-0.314375,0.34375
0.213,-0.311875,0.340625
0.214,-0.3090625,0.3375
0.215,-0.3059375,0.33375
0.216,-0.3025,0.330625
0.217,-0.2996875,0.326875
0.218,-0.2965625,0.3234375
0.219,-0.2940625,0.3203125
0.22,-0.2925,0.3165625
0.221,-0.2909375,0.3134375
0.222,-0.2896875,0.310625
0.223,-0.289375,0.3075
0.224,-0.289375,0.304375
0.225,-0.289375,0.301875
0.226,-0.289375,0.299375
0.227,-0.289375,0.296875
0.228,-0.2890625,0.2946875
0.229,-0.2884375,0.2921875
0.23,-0.286875,0.2896875
0.231,-0.285,0.2875
0.232,-0.2825,0.285
0.233,-0.2796875,0.2825
0.234,-0.2765625,0.2796875
0.235,-0.273125,0.276875
0.236,-0.269375,0.2740625
0.237,-0.2659375,0.27125
0.238,-0.2628125,0.268125
0.239,-0.2603125,0.265625
0.24,-0.2578125,0.2625
0.241,-0.25625,0.26
0.242,-0.2553125,0.2575
0.243,-0.2546875,0.255
0.244,-0.254375,0.2528125
0.245,-0.254375,0.250625
0.246,-0.2546875,0.2484375
0.247,-0.2546875,0.246875
0.248,-0.2540625,0.2446875
0.249,-0.25375,0.243125
0.25,-0.2525,0.2409375
0.251,-0.2503125,0.239375
0.252,-0.248125,0.2371875
0.253,-0.245625,0.2353125
0.254,-0.2425,0.233125
0.255,-0.2390625,0.2309375
0.256,-0.235625,0.22875
0.257,-0.2328125,0.22625
0.258,-0.2296875,0.224375
0.259,-0.2271875,0.221875
0.26,-0.2253125,0.22
0.261,-0.2240625,0.218125
0.262,-0.2234375,0.2159375
0.263,-0.223125,0.214375
0.264,-0.223125,0.2125
0.265,-0.22375,0.21125
0.266,-0.2240625,0.21
0.267,-0.224375,0.20875
0.268,-0.224375,0.2075
0.269,-0.2240625,0.20625
0.27,-0.223125,0.205
0.271,-0.221875,0.20375
0.272,-0.22,0.2025
0.273,-0.2175,0.20125
0.274,-0.215,0.1996875
0.275,-0.211875,0.1978125
0.276,-0.20875,0.19625
0.277,-0.20625,0.194375
0.278,-0.20375,0.1928125
0.279,-0.2015625,0.19125
0.28,-0.2,0.189375
0.281,-0.19875,0.1878125
0.282,-0.1984375,0.18625
0.283,-0.1984375,0.185
0.284,-0.19875,0.18375
0.285,-0.199375,0.1825
0.286,-0.2,0.181875
0.287,-0.200625,0.180625
0.288,-0.200625,0.1796875
0.289,-0.2003125,0.1790625
0.29,-0.199375,0.1778125
0.291,-0.198125,0.1771875
0.292,-0.19625,0.1759375
0.293,-0.19375,0.1746875
0.294,-0.1909375,0.1734375
0.295,-0.188125,0.1721875
0.296,-0.185,0.1709375
0.297,-0.181875,0.169375
0.298,-0.179375,0.1678125
0.299,-0.1771875,0.1665625
0.3,-0.1753125,0.1653125
0.301,-0.1740625,0.1640625
0.302,-0.17375,0.163125
0.303,-0.1734375,0.1621875
0.304,-0.1734375,0.16125
0.305,-0.17375,0.1603125
0.306,-0.174375,0.16
0.307,-0.174375,0.159375
0.308,-0.174375,0.1590625
0.309,-0.1740625,0.1584375
0.31,-0.1728125,0.158125
0.311,-0.1715625,0.1571875
0.312,-0.169375,0.156875
0.313,-0.1665625,0.1559375
0.314,-0.16375,0.155
0.315,-0.160625,0.1540625
0.316,-0.1571875,0.153125
0.317,-0.154375,0.151875
0.318,-0.1515625,0.150625
0.319,-0.1490625,0.1496875
0.32,-0.1471875,0.1484375
0.321,-0.1459375,0.1475
0.322,-0.1453125,0.146875
0.323,-0.1453125,0.1459375
0.324,-0.1453125,0.1453125
0.325,-0.1459375,0.145
0.326,-0.1465625,0.144375
0.327,-0.146875,0.1440625
0.328,-0.1471875,0.14375
0.329,-0.146875,0.1434375
0.33,-0.14625,0.1428125
0.331,-0.145,0.1425
0.332,-0.143125,0.1415625
0.333,-0.1409375,0.1409375
0.334,-0.138125,0.14
0.335,-0.135625,0.139375
0.336,-0.1328125,0.138125
0.337,-0.13,0.136875
