Interval=,0.001 s,
ExcelDateTime=,4.54E+04,57:30.1
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV
0,0,0
0.001,0,0
0.002,-0.0003125,0
0.003,-0.0003125,-0.0003125
0.004,-0.0003125,-0.0003125
0.005,-0.0003125,-0.0003125
0.006,-0.0003125,-0.0003125
0.007,-0.0003125,-0.0003125
0.008,-0.000625,-0.0003125
0.009,-0.0009375,-0.0003125
0.01,-0.00125,-0.000625
0.011,-0.001875,-0.000625
0.012,-0.0021875,-0.0009375
0.013,-0.0028125,-0.0009375
0.014,-0.00375,-0.00125
0.015,-0.0046875,-0.0015625
0.016,-0.0059375,-0.0015625
0.017,-0.0071875,-0.0015625
0.018,-0.0084375,-0.001875
0.019,-0.0103125,-0.0021875
0.02,-0.011875,-0.0021875
0.021,-0.014375,-0.0021875
0.022,-0.0165625,-0.0025
0.023,-0.0190625,-0.0025
0.024,-0.0221875,-0.0028125
0.025,-0.025,-0.0028125
0.026,-0.028125,-0.0028125
0.027,-0.0315625,-0.003125
0.028,-0.0353125,-0.003125
0.029,-0.0390625,-0.003125
0.03,-0.043125,-0.0034375
0.031,-0.0475,-0.0034375
0.032,-0.0515625,-0.00375
0.033,-0.05625,-0.0040625
0.034,-0.0609375,-0.004375
0.035,-0.0653125,-0.004375
0.036,-0.0703125,-0.004375
0.037,-0.0753125,-0.0046875
0.038,-0.0803125,-0.0046875
0.039,-0.0853125,-0.005
0.04,-0.0903125,-0.005
0.041,-0.0953125,-0.0046875
0.042,-0.100625,-0.0046875
0.043,-0.105625,-0.0046875
0.044,-0.110625,-0.004375
0.045,-0.1159375,-0.004375
0.046,-0.1209375,-0.0040625
0.047,-0.125625,-0.00375
0.048,-0.130625,-0.0034375
0.049,-0.1353125,-0.0034375
0.05,-0.139375,-0.003125
0.051,-0.14375,-0.003125
0.052,-0.148125,-0.0028125
0.053,-0.151875,-0.0025
0.054,-0.155625,-0.0025
0.055,-0.15875,-0.0021875
0.056,-0.1621875,-0.001875
0.057,-0.1653125,-0.001875
0.058,-0.168125,-0.0015625
0.059,-0.170625,-0.00125
0.06,-0.1728125,-0.0009375
0.061,-0.1753125,-0.000625
0.062,-0.1775,-0.0003125
0.063,-0.1790625,0.0003125
0.064,-0.18125,0.000625
0.065,-0.1828125,0.00125
0.066,-0.184375,0.0015625
0.067,-0.1859375,0.0021875
0.068,-0.1871875,0.0025
0.069,-0.1884375,0.0028125
0.07,-0.1896875,0.003125
0.071,-0.1909375,0.0034375
0.072,-0.1915625,0.00375
0.073,-0.1925,0.00375
0.074,-0.193125,0.0040625
0.075,-0.1934375,0.0040625
0.076,-0.19375,0.004375
0.077,-0.194375,0.004375
0.078,-0.194375,0.004375
0.079,-0.194375,0.0046875
0.08,-0.1946875,0.0046875
0.081,-0.1946875,0.0046875
0.082,-0.1946875,0.005
0.083,-0.1946875,0.005
0.084,-0.1946875,0.0053125
0.085,-0.194375,0.005625
0.086,-0.194375,0.0059375
0.087,-0.194375,0.0059375
0.088,-0.194375,0.0059375
0.089,-0.194375,0.00625
0.09,-0.1940625,0.00625
0.091,-0.1940625,0.00625
0.092,-0.19375,0.00625
0.093,-0.1934375,0.00625
0.094,-0.193125,0.00625
0.095,-0.1928125,0.0059375
0.096,-0.1921875,0.0059375
0.097,-0.1915625,0.0059375
0.098,-0.19125,0.0059375
0.099,-0.1909375,0.00625
0.1,-0.1903125,0.00625
0.101,-0.19,0.00625
0.102,-0.189375,0.0065625
0.103,-0.1890625,0.0065625
0.104,-0.18875,0.006875
0.105,-0.188125,0.0075
0.106,-0.1878125,0.0075
0.107,-0.1878125,0.0078125
0.108,-0.1871875,0.008125
0.109,-0.1871875,0.0084375
0.11,-0.186875,0.00875
0.111,-0.1865625,0.00875
0.112,-0.1865625,0.0090625
0.113,-0.18625,0.0090625
0.114,-0.1859375,0.0090625
0.115,-0.185625,0.009375
0.116,-0.1853125,0.009375
0.117,-0.185,0.009375
0.118,-0.1846875,0.0096875
0.119,-0.184375,0.01
0.12,-0.1840625,0.0103125
0.121,-0.18375,0.0103125
0.122,-0.18375,0.010625
0.123,-0.183125,0.01125
0.124,-0.183125,0.01125
0.125,-0.183125,0.011875
0.126,-0.1828125,0.0121875
0.127,-0.1828125,0.0125
0.128,-0.1825,0.0128125
0.129,-0.1821875,0.0128125
0.13,-0.181875,0.013125
0.131,-0.181875,0.0134375
0.132,-0.1815625,0.0134375
0.133,-0.18125,0.01375
0.134,-0.1809375,0.01375
0.135,-0.1803125,0.01375
0.136,-0.18,0.01375
0.137,-0.179375,0.01375
0.138,-0.17875,0.01375
0.139,-0.1784375,0.0140625
0.14,-0.178125,0.0140625
0.141,-0.1775,0.0140625
0.142,-0.1771875,0.014375
0.143,-0.176875,0.0146875
0.144,-0.1765625,0.0146875
0.145,-0.17625,0.015
0.146,-0.1759375,0.0153125
0.147,-0.1759375,0.0153125
0.148,-0.1759375,0.015625
0.149,-0.175625,0.015625
0.15,-0.175625,0.015625
0.151,-0.1759375,0.015625
0.152,-0.1759375,0.015625
0.153,-0.1759375,0.015625
0.154,-0.1759375,0.015625
0.155,-0.17625,0.015625
0.156,-0.17625,0.015625
0.157,-0.1765625,0.0153125
0.158,-0.176875,0.0153125
0.159,-0.176875,0.0153125
0.16,-0.1775,0.015625
0.161,-0.1778125,0.015625
0.162,-0.178125,0.015625
0.163,-0.17875,0.0159375
0.164,-0.1790625,0.0159375
0.165,-0.18,0.01625
0.166,-0.180625,0.0165625
0.167,-0.1809375,0.016875
0.168,-0.181875,0.016875
0.169,-0.1828125,0.016875
0.17,-0.183125,0.0171875
0.171,-0.1840625,0.0171875
0.172,-0.1846875,0.0171875
0.173,-0.185,0.0171875
0.174,-0.1859375,0.0171875
0.175,-0.18625,0.0171875
0.176,-0.1865625,0.0175
0.177,-0.1871875,0.0175
0.178,-0.1871875,0.0175
0.179,-0.1878125,0.0175
0.18,-0.188125,0.0178125
0.181,-0.188125,0.018125
0.182,-0.1884375,0.018125
0.183,-0.18875,0.0184375
0.184,-0.1890625,0.01875
0.185,-0.1890625,0.0190625
0.186,-0.189375,0.019375
0.187,-0.19,0.019375
0.188,-0.19,0.02
0.189,-0.190625,0.02
0.19,-0.190625,0.02
0.191,-0.19125,0.0203125
0.192,-0.1915625,0.0203125
0.193,-0.191875,0.0203125
0.194,-0.1921875,0.0203125
0.195,-0.1925,0.0203125
0.196,-0.1928125,0.020625
0.197,-0.1934375,0.020625
0.198,-0.19375,0.020625
0.199,-0.19375,0.020625
0.2,-0.1940625,0.020625
0.201,-0.194375,0.0209375
0.202,-0.1946875,0.0209375
0.203,-0.195,0.02125
0.204,-0.195,0.0215625
0.205,-0.195625,0.0215625
0.206,-0.195625,0.021875
0.207,-0.1959375,0.0221875
0.208,-0.19625,0.0225
0.209,-0.19625,0.0225
0.21,-0.1965625,0.0225
0.211,-0.1965625,0.0225
0.212,-0.1965625,0.0228125
0.213,-0.19625,0.0225
0.214,-0.19625,0.0225
0.215,-0.19625,0.0225
0.216,-0.195625,0.0225
0.217,-0.1953125,0.0228125
0.218,-0.195,0.0228125
0.219,-0.1940625,0.0228125
0.22,-0.1934375,0.0228125
0.221,-0.193125,0.023125
0.222,-0.1921875,0.023125
0.223,-0.19125,0.023125
0.224,-0.1903125,0.02375
0.225,-0.1896875,0.02375
0.226,-0.1884375,0.0240625
