Interval=,0.001 s,
ExcelDateTime=,4.54E+04,30:51.7
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV
0,0,0
0.001,0,0
0.002,0,0
0.003,0,0
0.004,0,0
0.005,0,0
0.006,0,0
0.007,0,0
0.008,0.0003125,0
0.009,0.0003125,0
0.01,0.000625,0
0.011,0.0009375,0
0.012,0.00125,0
0.013,0.001875,0
0.014,0.0021875,0
0.015,0.003125,0.0003125
0.016,0.0040625,0.0003125
0.017,0.0046875,0.0003125
0.018,0.0059375,0.000625
0.019,0.0071875,0.000625
0.02,0.0084375,0.000625
0.021,0.0096875,0.0009375
0.022,0.01125,0.0009375
0.023,0.0128125,0.0009375
0.024,0.015,0.00125
0.025,0.0165625,0.0015625
0.026,0.01875,0.001875
0.027,0.020625,0.001875
0.028,0.023125,0.0021875
0.029,0.0253125,0.0025
0.03,0.0278125,0.0028125
0.031,0.0303125,0.003125
0.032,0.0328125,0.0034375
0.033,0.035625,0.00375
0.034,0.038125,0.004375
0.035,0.0409375,0.0046875
0.036,0.0440625,0.005
0.037,0.046875,0.0053125
0.038,0.0496875,0.0059375
0.039,0.0528125,0.00625
0.04,0.0559375,0.006875
0.041,0.05875,0.0071875
0.042,0.0615625,0.0075
0.043,0.0646875,0.008125
0.044,0.0671875,0.0084375
0.045,0.0703125,0.00875
0.046,0.0728125,0.0090625
0.047,0.0753125,0.0096875
0.048,0.0778125,0.01
0.049,0.0803125,0.0103125
0.05,0.0825,0.010625
0.051,0.0846875,0.01125
0.052,0.086875,0.0115625
0.053,0.0890625,0.011875
0.054,0.090625,0.0121875
0.055,0.0921875,0.0125
0.056,0.0940625,0.0128125
0.057,0.095625,0.013125
0.058,0.096875,0.0134375
0.059,0.098125,0.01375
0.06,0.099375,0.01375
0.061,0.100625,0.01375
0.062,0.101875,0.0140625
0.063,0.1025,0.0140625
0.064,0.1034375,0.0140625
0.065,0.104375,0.0140625
0.066,0.1046875,0.01375
0.067,0.1053125,0.01375
0.068,0.10625,0.01375
0.069,0.1065625,0.01375
0.07,0.106875,0.01375
0.071,0.1071875,0.0134375
0.072,0.1075,0.0134375
0.073,0.1078125,0.0134375
0.074,0.1078125,0.013125
0.075,0.1078125,0.013125
0.076,0.1078125,0.013125
0.077,0.1078125,0.0128125
0.078,0.1078125,0.0128125
0.079,0.1078125,0.0125
0.08,0.1075,0.0125
0.081,0.1075,0.0125
0.082,0.1071875,0.0121875
0.083,0.106875,0.0121875
0.084,0.106875,0.011875
0.085,0.10625,0.0115625
0.086,0.10625,0.0115625
0.087,0.1059375,0.01125
0.088,0.1053125,0.0109375
0.089,0.105,0.0109375
0.09,0.1046875,0.010625
0.091,0.1040625,0.010625
0.092,0.10375,0.010625
0.093,0.103125,0.0103125
0.094,0.1028125,0.0103125
0.095,0.101875,0.0103125
0.096,0.1015625,0.0103125
0.097,0.10125,0.0103125
0.098,0.1003125,0.0103125
0.099,0.1,0.0103125
0.1,0.099375,0.0103125
0.101,0.0990625,0.010625
0.102,0.098125,0.010625
0.103,0.0978125,0.010625
0.104,0.0971875,0.010625
0.105,0.096875,0.010625
0.106,0.0959375,0.010625
0.107,0.095625,0.010625
0.108,0.095,0.0109375
0.109,0.0946875,0.0109375
0.11,0.09375,0.0109375
0.111,0.093125,0.01125
0.112,0.0928125,0.01125
0.113,0.0925,0.011875
0.114,0.091875,0.011875
0.115,0.0909375,0.0121875
0.116,0.090625,0.0125
0.117,0.09,0.0125
0.118,0.089375,0.013125
