Interval=,0.001 s,
ExcelDateTime=,4.54E+04,26:05.7
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV
0.201,0.0096875,-0.0146875
0.202,0.0096875,-0.0140625
0.203,0.009375,-0.01375
0.204,0.009375,-0.01375
0.205,0.0090625,-0.0134375
0.206,0.0090625,-0.0134375
0.207,0.0090625,-0.0134375
0.208,0.00875,-0.013125
0.209,0.00875,-0.013125
0.21,0.00875,-0.013125
0.211,0.0084375,-0.0134375
0.212,0.0084375,-0.0134375
0.213,0.008125,-0.0134375
0.214,0.008125,-0.0134375
0.215,0.008125,-0.0134375
0.216,0.0078125,-0.0134375
0.217,0.0078125,-0.01375
0.218,0.0075,-0.01375
0.219,0.0071875,-0.01375
0.22,0.0071875,-0.01375
0.221,0.006875,-0.01375
0.222,0.006875,-0.0140625
0.223,0.0065625,-0.0140625
0.224,0.0065625,-0.014375
0.225,0.00625,-0.014375
0.226,0.00625,-0.0146875
0.227,0.00625,-0.015
0.228,0.0059375,-0.015
0.229,0.0059375,-0.015625
0.23,0.0059375,-0.015625
0.231,0.005625,-0.01625
0.232,0.005625,-0.01625
0.233,0.0053125,-0.0165625
0.234,0.0053125,-0.0171875
0.235,0.0053125,-0.0171875
0.236,0.005,-0.0175
0.237,0.005,-0.0178125
0.238,0.005,-0.018125
0.239,0.0046875,-0.018125
0.24,0.0046875,-0.018125
0.241,0.004375,-0.0184375
0.242,0.004375,-0.0184375
0.243,0.0040625,-0.01875
0.244,0.00375,-0.0190625
0.245,0.00375,-0.0190625
0.246,0.0034375,-0.019375
0.247,0.003125,-0.0196875
0.248,0.003125,-0.0196875
0.249,0.0028125,-0.02
0.25,0.0025,-0.0203125
0.251,0.0025,-0.0203125
0.252,0.0021875,-0.020625
0.253,0.0021875,-0.0209375
0.254,0.001875,-0.0209375
0.255,0.0015625,-0.02125
0.256,0.0015625,-0.0215625
0.257,0.00125,-0.021875
0.258,0.00125,-0.021875
0.259,0.00125,-0.0221875
0.26,0.0009375,-0.0225
0.261,0.000625,-0.0225
0.262,0.000625,-0.0228125
0.263,0.0003125,-0.023125
0.264,0,-0.023125
0.265,0,-0.0234375
0.266,-0.0003125,-0.02375
0.267,-0.0003125,-0.0240625
0.268,-0.0003125,-0.024375
0.269,-0.000625,-0.024375
0.27,-0.000625,-0.025
0.271,-0.000625,-0.025
0.272,-0.0009375,-0.0253125
0.273,-0.0009375,-0.025625
0.274,-0.0009375,-0.025625
0.275,-0.0009375,-0.02625
0.276,-0.0009375,-0.02625
0.277,-0.0009375,-0.02625
0.278,-0.0009375,-0.0265625
0.279,-0.0009375,-0.026875
0.28,-0.000625,-0.026875
0.281,-0.000625,-0.0271875
0.282,-0.000625,-0.0271875
0.283,-0.000625,-0.0275
0.284,-0.0003125,-0.0275
0.285,-0.0003125,-0.0278125
0.286,0,-0.0278125
0.287,0,-0.028125
0.288,0,-0.0284375
0.289,0.0003125,-0.0284375
0.29,0.0003125,-0.02875
0.291,0.000625,-0.0290625
0.292,0.000625,-0.029375
0.293,0.0009375,-0.029375
0.294,0.0009375,-0.03
0.295,0.0009375,-0.03
0.296,0.00125,-0.0303125
0.297,0.00125,-0.030625
0.298,0.00125,-0.0309375
0.299,0.00125,-0.03125
0.3,0.00125,-0.0315625
0.301,0.00125,-0.031875
0.302,0.00125,-0.0325
0.303,0.0009375,-0.0328125
0.304,0.0009375,-0.033125
0.305,0.0009375,-0.03375
0.306,0.0009375,-0.0340625
0.307,0.0009375,-0.035
0.308,0.000625,-0.0353125
0.309,0.000625,-0.03625
0.31,0.000625,-0.0365625
0.311,0.000625,-0.0375
0.312,0.0003125,-0.038125
0.313,0.0003125,-0.0390625
0.314,0.0003125,-0.039375
0.315,0,-0.0403125
0.316,0,-0.04125
0.317,0,-0.0415625
0.318,-0.0003125,-0.0425
0.319,-0.0003125,-0.043125
0.32,-0.0003125,-0.0440625
0.321,-0.0003125,-0.045
0.322,-0.0003125,-0.045625
0.323,-0.0003125,-0.04625
0.324,0,-0.046875
0.325,0,-0.0478125
0.326,0,-0.04875
0.327,0.0003125,-0.049375
0.328,0.0003125,-0.0503125
0.329,0.000625,-0.0509375
0.33,0.0009375,-0.051875
0.331,0.0009375,-0.0521875
0.332,0.00125,-0.053125
0.333,0.0015625,-0.0534375
0.334,0.001875,-0.054375
0.335,0.0021875,-0.0546875
0.336,0.0021875,-0.055625
0.337,0.0025,-0.0559375
0.338,0.003125,-0.0565625
0.339,0.003125,-0.0571875
0.34,0.0034375,-0.0575
0.341,0.00375,-0.0578125
0.342,0.0040625,-0.0584375
0.343,0.0040625,-0.0590625
0.344,0.0046875,-0.0596875
0.345,0.0046875,-0.06
0.346,0.005,-0.060625
0.347,0.005625,-0.0609375
0.348,0.005625,-0.0615625
0.349,0.0059375,-0.0625
0.35,0.00625,-0.0628125
0.351,0.0065625,-0.0634375
0.352,0.0065625,-0.06375
0.353,0.0065625,-0.0640625
0.354,0.006875,-0.0646875
0.355,0.006875,-0.065
0.356,0.0071875,-0.0653125
0.357,0.0071875,-0.0659375
0.358,0.0071875,-0.06625
0.359,0.0071875,-0.06625
0.36,0.006875,-0.0665625
0.361,0.006875,-0.066875
0.362,0.006875,-0.066875
0.363,0.006875,-0.0671875
0.364,0.006875,-0.0675
0.365,0.006875,-0.0678125
0.366,0.006875,-0.0678125
0.367,0.006875,-0.068125
0.368,0.006875,-0.0684375
0.369,0.006875,-0.06875
0.37,0.006875,-0.06875
0.371,0.006875,-0.06875
0.372,0.006875,-0.06875
0.373,0.006875,-0.0690625
0.374,0.006875,-0.06875
0.375,0.0065625,-0.06875
0.376,0.0065625,-0.06875
