Interval=,0.001 s,
ExcelDateTime=,4.54E+04,41:55.7
TimeFormat=,StartOfBlock,
DateFormat=,,
ChannelTitle=,Channel 3,Channel 4
Range=,10.000 mV,10.000 mV
0,0,0
0.001,0,0
0.002,0,-0.0003125
0.003,-0.0003125,-0.0003125
0.004,-0.0003125,-0.0003125
0.005,-0.0003125,-0.0003125
0.006,-0.0003125,-0.0003125
0.007,-0.0003125,-0.0003125
0.008,-0.0003125,-0.0003125
0.009,-0.000625,-0.000625
0.01,-0.0009375,-0.0009375
0.011,-0.00125,-0.0009375
0.012,-0.0015625,-0.00125
0.013,-0.001875,-0.0015625
0.014,-0.0025,-0.0021875
0.015,-0.0028125,-0.0025
0.016,-0.00375,-0.0034375
0.017,-0.0046875,-0.00375
0.018,-0.0053125,-0.0046875
0.019,-0.0065625,-0.0053125
0.02,-0.0078125,-0.0065625
0.021,-0.0090625,-0.0078125
0.022,-0.0103125,-0.00875
0.023,-0.011875,-0.01
0.024,-0.0134375,-0.0115625
0.025,-0.015,-0.013125
0.026,-0.0171875,-0.0146875
0.027,-0.01875,-0.01625
0.028,-0.0209375,-0.0184375
0.029,-0.0228125,-0.0203125
0.03,-0.025,-0.021875
0.031,-0.0275,-0.0240625
0.032,-0.0296875,-0.0259375
0.033,-0.031875,-0.028125
0.034,-0.034375,-0.0303125
0.035,-0.036875,-0.0325
0.036,-0.039375,-0.035
0.037,-0.041875,-0.0375
0.038,-0.044375,-0.0396875
0.039,-0.0471875,-0.0421875
0.04,-0.0496875,-0.0446875
0.041,-0.0521875,-0.0471875
0.042,-0.055,-0.0496875
0.043,-0.0575,-0.0521875
0.044,-0.06,-0.0546875
0.045,-0.0628125,-0.0571875
0.046,-0.0653125,-0.059375
0.047,-0.0675,-0.0615625
0.048,-0.07,-0.06375
0.049,-0.0721875,-0.0659375
0.05,-0.074375,-0.0678125
0.051,-0.0765625,-0.0696875
0.052,-0.07875,-0.0715625
0.053,-0.0803125,-0.073125
0.054,-0.0821875,-0.0746875
0.055,-0.08375,-0.07625
0.056,-0.0853125,-0.0775
0.057,-0.0865625,-0.07875
0.058,-0.088125,-0.08
0.059,-0.089375,-0.0809375
0.06,-0.0903125,-0.081875
0.061,-0.0915625,-0.0828125
0.062,-0.0921875,-0.08375
0.063,-0.093125,-0.084375
0.064,-0.09375,-0.0853125
0.065,-0.0946875,-0.0859375
0.066,-0.095,-0.0865625
0.067,-0.0953125,-0.086875
0.068,-0.0959375,-0.0875
0.069,-0.09625,-0.0875
0.07,-0.09625,-0.088125
0.071,-0.09625,-0.088125
0.072,-0.09625,-0.088125
0.073,-0.09625,-0.088125
0.074,-0.09625,-0.088125
0.075,-0.095625,-0.0878125
0.076,-0.095625,-0.0878125
0.077,-0.095,-0.0875
0.078,-0.0946875,-0.0871875
0.079,-0.0940625,-0.0871875
0.08,-0.09375,-0.0865625
0.081,-0.0928125,-0.0865625
0.082,-0.0925,-0.0859375
0.083,-0.091875,-0.0859375
0.084,-0.0909375,-0.085625
0.085,-0.0903125,-0.085
0.086,-0.0896875,-0.0846875
0.087,-0.08875,-0.084375
0.088,-0.088125,-0.0840625
0.089,-0.0871875,-0.0834375
0.09,-0.08625,-0.083125
0.091,-0.085625,-0.0821875
0.092,-0.0846875,-0.081875
0.093,-0.08375,-0.08125
0.094,-0.083125,-0.0803125
0.095,-0.0821875,-0.08
0.096,-0.0815625,-0.0790625
0.097,-0.080625,-0.078125
0.098,-0.0796875,-0.0778125
0.099,-0.0790625,-0.076875
0.1,-0.078125,-0.0759375
0.101,-0.0771875,-0.075625
0.102,-0.0765625,-0.075
0.103,-0.075625,-0.0740625
0.104,-0.0753125,-0.073125
0.105,-0.074375,-0.0728125
0.106,-0.07375,-0.071875
0.107,-0.0734375,-0.07125
0.108,-0.0725,-0.0709375
0.109,-0.0721875,-0.07
0.11,-0.07125,-0.0696875
0.111,-0.070625,-0.06875
0.112,-0.07,-0.0684375
0.113,-0.069375,-0.0678125
0.114,-0.0690625,-0.0671875
0.115,-0.068125,-0.0665625
0.116,-0.0678125,-0.06625
0.117,-0.066875,-0.065625
0.118,-0.0665625,-0.0653125
0.119,-0.065625,-0.0646875
0.12,-0.0653125,-0.0646875
0.121,-0.0646875,-0.064375
0.122,-0.0640625,-0.06375
0.123,-0.06375,-0.06375
0.124,-0.0634375,-0.0634375
0.125,-0.0628125,-0.0634375
0.126,-0.0625,-0.0634375
0.127,-0.0621875,-0.063125
0.128,-0.061875,-0.063125
0.129,-0.0615625,-0.063125
0.13,-0.0609375,-0.063125
0.131,-0.0609375,-0.063125
0.132,-0.060625,-0.0628125
0.133,-0.06,-0.0628125
0.134,-0.06,-0.0628125
0.135,-0.059375,-0.0628125
0.136,-0.0590625,-0.0628125
0.137,-0.05875,-0.0625
0.138,-0.0584375,-0.0625
0.139,-0.058125,-0.0625
0.14,-0.0578125,-0.0625
0.141,-0.0571875,-0.0628125
0.142,-0.0571875,-0.0628125
0.143,-0.0565625,-0.0628125
0.144,-0.05625,-0.0628125
0.145,-0.05625,-0.0628125
0.146,-0.055625,-0.0628125
0.147,-0.0553125,-0.0628125
0.148,-0.055,-0.0628125
0.149,-0.0546875,-0.0625
0.15,-0.054375,-0.0625
0.151,-0.05375,-0.0625
0.152,-0.0534375,-0.061875
0.153,-0.0528125,-0.061875
0.154,-0.0525,-0.0615625
0.155,-0.0521875,-0.06125
0.156,-0.0515625,-0.0609375
0.157,-0.0509375,-0.0603125
0.158,-0.050625,-0.06
0.159,-0.05,-0.0596875
0.16,-0.049375,-0.059375
0.161,-0.04875,-0.0590625
0.162,-0.0484375,-0.05875
0.163,-0.0478125,-0.058125
0.164,-0.0475,-0.0578125
0.165,-0.046875,-0.0575
0.166,-0.0465625,-0.0571875
0.167,-0.0459375,-0.056875
0.168,-0.045625,-0.05625
0.169,-0.0453125,-0.0559375
0.17,-0.0446875,-0.0553125
0.171,-0.044375,-0.055
0.172,-0.04375,-0.0546875
0.173,-0.0434375,-0.0540625
0.174,-0.043125,-0.0534375
0.175,-0.0425,-0.0528125
0.176,-0.0421875,-0.0525
0.177,-0.041875,-0.0521875
0.178,-0.04125,-0.0515625
0.179,-0.0409375,-0.05125
0.18,-0.040625,-0.050625
0.181,-0.0403125,-0.0503125
0.182,-0.0396875,-0.05
0.183,-0.0396875,-0.0496875
0.184,-0.0390625,-0.049375
0.185,-0.03875,-0.049375
0.186,-0.03875,-0.0490625
0.187,-0.0384375,-0.0490625
0.188,-0.038125,-0.0490625
0.189,-0.038125,-0.04875
0.19,-0.0378125,-0.04875
0.191,-0.0375,-0.04875
0.192,-0.0371875,-0.04875
0.193,-0.0371875,-0.04875
0.194,-0.036875,-0.0484375
0.195,-0.0365625,-0.0484375
0.196,-0.0365625,-0.0484375
0.197,-0.03625,-0.0484375
0.198,-0.0359375,-0.04875
0.199,-0.0359375,-0.04875
0.2,-0.035625,-0.04875
0.201,-0.035625,-0.04875
0.202,-0.035625,-0.04875
0.203,-0.0353125,-0.0490625
0.204,-0.0353125,-0.0490625
0.205,-0.0353125,-0.049375
0.206,-0.0353125,-0.049375
0.207,-0.0353125,-0.0496875
0.208,-0.035625,-0.0496875
0.209,-0.035625,-0.05
0.21,-0.035625,-0.05
0.211,-0.035625,-0.05
0.212,-0.035625,-0.05
0.213,-0.0359375,-0.05
0.214,-0.0359375,-0.05
0.215,-0.0359375,-0.0496875
0.216,-0.0359375,-0.0496875
0.217,-0.0359375,-0.049375
